year,price,mileage
2021,31.995,27.36
2024,37.266,3.537
2022,31.995,5.075
2023,25.9,11.235
2016,20.3,62.818
2020,23.995,49.526
2024,38.985,7.163
2020,18.989,65.467
2020,22.25,17.412
2023,40.5,5.821
2022,39.995,3.152
2017,14.756,104.613
2023,31.99,6.805
2018,15,103.693
2021,30.9,23.924
2021,29,28.951
2020,26.5,23.149
2021,24.9,44.72
2019,27.995,28.534
2022,24.9,25.028
2021,34.99,11.595
2021,27,25.404
2020,23.995,31.741
2016,16.988,69.93
2020,26.399,16.363
2022,29.99,29.475
2023,41.99,3.323
2018,20.587,72.736
2020,24.5,28.912
2016,20.7,46.171
2020,27.846,14.674
2014,8.972,135.167
2020,30.9,28.438
2020,24.999,23.442
2017,15.789,96.791
2024,36.999,0.697
2021,25.849,62.844
2022,25.328,24.02
2024,45.314,3.22
2015,8.999,171
2023,35.298,3.431
2022,22.295,59.827
2023,33.795,14.715
2024,37.554,5.463
2021,31,4.22
2021,25,27.711
2021,28.995,14.502
2019,20.138,63.238
2020,23.987,11.829
2011,9.995,111
2018,15.49,72.918
2019,23.157,39.333
2016,12.9,89.841
2020,28.995,15.318
2016,19.499,55.138
2018,21.995,50.086
2023,37.291,3.056
2021,23.985,21.313
2016,16.919,105.449
2020,24.995,26
2022,24,40.145
2015,14.995,35.9
2013,7.9,126.229
2020,29,13.8
2020,24.995,34.647
2019,19.895,62.062
2020,27.995,21.081
2019,17.977,69.847
2012,8.495,85.1
2024,41.395,0.09
2013,7.488,109.349
2018,17.358,60.942
2017,12.888,104.479
2018,16.8,80.592
2018,18.995,59.243
2021,25.999,30.584
2020,23.962,34.354
2022,29.995,16.584
2020,23.495,58.908
2017,18.272,56.328
2021,25.046,51.281
2020,26.9,11.634
2021,31.264,24.901
2024,43.3,0.006
2019,19.706,56.341
2016,16.995,99.547
2018,20,72.246
2021,25.9,42.518
2010,8.8,133
2016,18.995,62.837
2020,25.995,25.49
2021,29.899,26.839
2018,19.78,47.864
2015,14.968,93.276
2022,26.895,42.985
2019,20.257,76.084
2019,23.3,39.277
2019,18.485,72.455
2014,8.995,177.867
2022,33.99,18.299
2022,27.998,19.531
2018,23,45.82
2020,25.83,22.827
2021,26.495,31.239
2023,30.699,1.367
2017,18.6,62.59
2020,27,18.333
2019,19.9,49.095
2021,27.5,16.323
2021,27,28.697
2023,35.366,3.402
2018,18.5,61.33
2020,29.7,39.966
2020,28.948,23.587
2021,27.99,11.655
2022,32.9,21.417
2022,29.99,13.768
2012,9.499,132.879
2021,32.474,35.543
2020,27.689,22.111
2020,24.525,25.973
2020,19.67,41.126
2020,24.663,33.32
2016,18,72.004
2023,31.9,0.3
2017,21.559,55.397
2020,29,21.444
2022,30.965,6.218
2022,26.799,37.893
2017,19.999,94.9
2015,10.995,123.7
2021,25.906,35.455
2017,17.5,77.241
2019,19.9,55.639
2020,21.882,95.678
2020,29.99,43.578
2020,24,21.589
2024,37.995,2.32
2020,26.491,46.158
2018,14,103.587
2019,19.498,72.735
2020,19.466,75.64
2024,42.295,0.001
2024,39.444,0.011
2016,11.919,113.216
2020,23,39.268
2020,28.995,25.333
2022,29.995,9.925
2019,17.5,69.522
2020,29.995,38.273
2019,20.597,70.106
2018,19.995,61.795
2015,13.144,103.864
2023,37.049,2.981
2020,25.476,27.982
2020,28.995,28.735
2023,27,13.081
2020,25.95,34.162
2019,24.11,47.916
2020,27.988,12.854
2020,26.99,26.458
2024,36.5,0.006
2020,26.864,25.135
2021,29.995,22.682
2020,25.31,30.92
2013,11.995,94.693
2022,26.85,14.965
2020,26.9,20.669
2022,27.979,43.189
2020,26,23.107
2017,18.5,58.345
2019,15.495,78.4
2023,33.34,3.613
2022,28.863,21.888
2013,16.995,69.504
2014,11.095,70
2019,22.125,58.39
2022,29.9,44.647
2023,38.101,2.941
2013,12.995,72.884
2017,14.995,101.586
2018,15.995,80.054
2019,15.495,63.8
2021,25.983,28.38
2023,35.363,2.86
2020,25.995,25.642
2020,27.995,30.945
2016,14.995,85.314
2022,30,12.767
2020,29.995,33.29
2013,9.99,106.623
2013,9.495,150.998
2016,18.9,78.149
2020,16.495,90.2
2018,23.1,59.823
2023,36.981,8.366
2018,18.985,61.124
2017,16.997,66.042
2018,22.99,57.216
2020,28.995,32.29
2020,23.857,22.289
2020,26.9,21.732
2013,7.5,160.394
2020,24.5,27.412
2012,12.995,82.972
2019,23.9,59.338
