year,price,mileage
2018,15.995,69.95
2019,21.9,25.555
2023,34.625,3.738
2019,19.499,53.691
2018,16.9,49.173
2022,27.9,12.699
2021,24.995,22.265
2020,21.5,43.424
2017,12.99,96.581
2023,36.995,14.921
2017,16.995,66.265
2020,26.995,16.551
2014,10.995,52.5
2021,19.824,51.213
2020,21.684,17.626
2020,20.995,20.732
2020,19.995,38.117
2023,34.992,2.008
2022,26.919,8.164
2019,19.532,46.615
2020,28.9,13.946
2017,13.837,71.185
2020,19.8,35.004
2020,23.895,25.222
2019,18.995,64.801
2021,26.99,15.207
2024,31.795,0.002
2021,21.6,17.092
2019,17,59.482
2020,20.995,19.074
2020,20.75,17.319
2019,20.7,19.512
2017,17.995,42.19
2014,10,141.533
2020,20.995,38.787
2013,11.985,51.682
2022,27.996,4.332
2022,26.995,24.633
2019,17.999,85.133
2021,24.497,27.487
2018,16.195,61.962
2019,19.989,48.476
2015,9.995,133.921
2023,34.995,2.709
2021,23.9,17.544
2019,17.419,44.631
2020,21.999,48.919
2021,21,31.339
2020,25.798,16.104
2021,22.565,36.784
2022,23.958,34.104
2021,23.995,31.532
2015,15.995,15.9
2019,16.813,69.331
2020,21.8,17.7
2019,17.898,65.641
2021,19.988,43.338
2020,24.949,16.586
2017,14.998,83.416
2019,20.995,52.577
2022,27.985,16.549
2022,28.995,12.959
2017,11.995,96.8
2014,8.495,94.2
2020,21.999,14.471
2020,26.949,39.966
2021,21.987,17.436
2020,22.995,51.5
2020,21.576,26.628
2020,15.495,59.5
2022,28.9,16.808
2019,21.99,30.01
2020,21.995,65.314
2020,21.399,16.905
2020,26.995,19
2014,15.888,58.301
2020,20,29.739
2021,24.221,37.87
2020,18.7,54.527
2020,22.9,34.374
2018,10.995,104.061
2021,13.995,113.8
2018,16.995,68.168
2023,26.343,26.914
2020,20.45,40.397
2021,25.449,31.153
2020,21.5,40.067
2020,22.9,33.389
2020,21.399,24.32
2020,24.99,35.269
2023,29.76,24.786
2020,23.091,45.406
2020,20.995,22.823
2022,20.995,45.4
