year,price,mileage
2020,30.995,87.655
2018,20.879,78.573
2019,22.498,63.526
2021,30,16.138
2021,32.995,6.955
2021,29.9,25.803
2021,40.995,29.939
2021,29.188,32.214
2017,13.995,85.2
2020,28.3,28.134
2021,57,10.918
2023,42.408,3.618
2017,17.877,78.013
2021,42.7,26.052
2021,27.555,31.686
2020,27.3,41.106
2019,17,87.1
2021,29.991,58.542
2020,32.99,7.788
2022,30.99,32.8
2022,40,19.027
2018,23.9,42.672
2022,42.877,19.151
2016,16.99,82.584
2023,50.41,5.28
2022,36.948,24.103
2021,28.5,26.352
2021,31,31.692
2021,32.494,32.793
2021,39.7,39.615
2020,29.995,50.621
2021,33.5,19.28
2022,41.426,37.6
2021,34.387,22.373
2020,28.5,29.57
2022,34.948,10.854
2022,33.995,12.524
2021,31.99,50.346
2014,12.999,119.434
2016,14.919,131.538
2019,21.5,77.761
2021,26.995,57.34
2021,39.484,38.668
2019,27.995,33.738
2020,24.888,68.5
2017,17.499,92.763
2020,36.995,8.973
2021,29.988,51.206
2020,26.995,44.671
2020,25,60.002
2017,17.995,104
2021,29.5,24.568
2017,21.35,51.54
2021,32.507,29.381
2021,33.995,27.538
2021,35.77,20.764
2020,30.4,16.928
2018,14.495,100.8
2023,39.99,3.11
2018,22.25,56.667
2018,23.995,98.102
2023,38.5,22.235
2016,19.999,110.315
2021,31,18.561
2020,34.188,30.642
2024,51.348,0.004
2020,35.898,40.288
2020,36.8,43.695
2021,31.99,23.708
2021,30.327,24.824
2016,19.599,91.3
2021,27.299,56.108
2020,28.44,49.195
2018,24.954,54.83
2023,37.495,19.383
2016,11.495,102.5
2014,17.977,78.027
2020,33.296,53.05
2022,36.8,33.113
2020,23.994,61.117
2023,45.996,1.739
2021,27,55.196
2021,31.3,59.972
2018,25.164,28.373
2020,31.9,49.395
2020,27.995,38.9
2021,29,17.37
2022,30.99,27.002
2021,28.5,46.321
2021,29.2,26.461
2021,38.989,16.234
2021,28.9,32.088
2020,29.98,53.228
2021,41.9,29.694
2023,43.988,17.958
2022,35.995,16.289
2019,28.5,52.701
2020,35.5,14.237
2023,50.56,1.155
2020,31.8,26.388
2021,32.6,13.646
2021,40.5,30.511
2021,28.99,54.887
2016,17,91.402
2021,33.777,37.775
2020,26.815,56.307
2021,35.995,16.872
2022,39.9,20.736
2016,19.495,93.203
2021,38.463,31.725
2020,36,41.891
2019,22.97,78.468
2020,29.919,43.747
2021,30,40.662
2022,33.474,34.379
2022,38.995,19.498
2018,19.654,96.884
2017,17.699,97.595
2021,30.5,33.745
2020,31.45,39.292
2020,27.397,42.772
2023,38,5.815
2021,28.825,35.425
2021,44.399,28.659
2013,17.995,85.48
2021,27.799,60.526
2023,44.845,15.24
2022,35,7.605
2017,19.989,63.342
