year,price,mileage
2014,9.877,67.32
2014,8.999,73.214
2016,11.995,60.374
2017,7.988,79.175
2013,7.5,103.078
2018,9.495,84.9
2016,8.995,87.123
2018,17.999,80.174
2014,7.995,61.6
2016,12.7,42.936
2014,6.995,112.393
2014,7.495,114.124
2016,24.995,99.334
2013,11,120
2015,5.99,109
2014,11.888,71.788
2017,12,60.15
2014,8.99,58.28
2009,6.995,86
2018,7.995,103.3
2018,12.588,45.913
2017,9.995,59.5
2014,10.9,53.829
2014,9.219,50.135
2010,10.995,6.204
2015,7.449,96.447
2017,23.995,81.7
2013,6.211,130.308
2017,11,101.475
2007,4.95,111
2017,17.995,39.309
2015,15.895,97.669
2018,10.99,69.039
2011,5.95,122
2017,7.995,107.2
2014,6.995,107.09
