year,price,mileage
2023,46.975,28.908
2022,25.995,54.203
2023,43.995,24.1
2022,25.995,56.845
2017,19.3,64.142
1998,10.483,93.131
2007,14.495,69.6
2022,52.769,5.947
2016,16.9,81.153
2016,28.5,47
1992,26.995,41.379
2023,41.5,1.968
2021,23.795,59.896
1988,21.995,46.912
2017,53.89,31.145
2015,17.651,94.402
2021,24.995,53.364
2021,43.99,31.051
2005,25.999,22.966
2024,64.925,1.1
2021,24.995,58.037
2021,49.9,0.358
2022,52,14.174
2022,87.45,5.598
2015,25.995,66.086
2017,57.495,26.451
2021,42.984,7.547
2020,36.995,41.525
2023,42.985,3.517
2009,13.999,153.805
2023,57.99,0.52
2014,15.285,48.106
2015,30.593,36.48
2006,13.995,74.9
2021,31.995,60.379
2014,17.995,58.565
2006,16.295,51.6
2021,24.495,58.748
2007,17.994,34.631
2022,35.995,42.069
2020,117.95,0.1
2021,23.995,59.802
2014,16.999,78.245
2007,13.994,65.363
2004,48.5,65
2015,15.995,85.378
2022,67.99,0.557
2001,9.995,95.821
2018,19.995,78.677
2017,36.995,8.441
2020,43.736,11.667
2020,34.995,44.45
1991,8.519,33.546
2020,46.29,1.9
2018,62,9.5
2021,42.626,10.759
2019,70.2,10.611
2022,43.995,9.882
2023,43.537,1.155
2020,42.995,19.948
2021,24.995,49.989
2021,33.995,56.487
2021,49.99,7.961
2021,40.695,19.39
2021,22.995,58.461
2020,40.4,9.713
2023,45.99,2.379
2021,24.995,52.458
2020,24,62
2012,8.988,131.233
2008,45.5,18.7
2014,13.995,97.294
2007,30,38
2016,18.595,89.057
2019,30.65,39.997
2022,41.991,11.338
2016,49.995,41.346
2024,49.695,0.6
2015,17.9,50.056
2004,8.95,94.118
2006,14.599,92.6
2006,14.5,156
2020,23.995,48.702
2023,46.991,2.489
2018,32.997,45.688
2021,24.995,53.869
2021,41.985,7.147
2020,20.95,63.015
2005,13,41
2024,69.99,0.216
2022,75.992,0.701
2021,26.995,53.848
2023,45.499,4.858
2021,23.995,62.853
2015,31.5,14.334
2015,23.995,12.72
2006,6.988,117.245
2018,22.999,29.38
2021,41.99,7.765
2006,24.9,36.25
2024,69.99,0.048
2022,43.198,6.023
2015,28.5,40
2021,35.99,26.358
2019,21.635,41.208
2021,24.75,53.853
2021,42.995,6.552
2020,44.99,11.931
2023,56.99,0.367
2008,32.95,49.84
