year,price,mileage
2015,18.995,161.692
2018,37,54.917
2022,61.5,36.32
2021,49.997,90.553
2008,19.9,58.827
2019,59.99,40.503
2017,39.5,47.7
2014,36.989,65.035
2015,24.999,100.253
2019,37.584,138.82
2017,50,25.425
2022,73.99,22.123
2019,57.4,50.482
2022,44.995,25.5
2024,103.085,0.011
2018,56.9,70.838
2020,40.988,55.983
2020,39.995,41.912
2005,27.999,93.963
2022,78.705,20.7
2009,10.9,167.131
2022,52.997,23.588
2019,65,68.177
2015,22,187.545
2021,53.661,64.246
2012,23.999,51.619
2022,65.999,15.291
2020,47.305,77.262
2017,59.995,35.367
2021,54.997,31.162
2017,30.9,58.234
2012,21.99,81.37
2016,45.763,63.134
2012,31.985,109.498
2016,23.995,144.725
2018,55,61.511
1999,58.999,22.879
2018,34.988,63.758
2006,8.75,125.9
2021,48,27.683
2020,64,70.892
2018,43.409,113.5
2011,31.999,101.205
2019,37.985,127.435
2010,24.999,131.836
2018,44.99,68.969
2017,53.982,29.064
2022,82.889,4.875
2000,13,103
2020,44.5,93.657
2021,49.9,93.071
2008,18,192.8
2020,47.447,105.771
2021,66.544,41.053
2016,29.5,79.579
2023,83.495,15.201
2015,46.999,70.087
2003,37.999,91.538
2008,16.999,146.823
2020,63.9,22.727
2020,63.985,41.091
2019,41.9,15.249
2021,55.799,76.327
2021,41.999,24.48
2019,58.5,58.115
2022,60,14.763
2022,64.999,21.237
2006,10.995,104.051
2018,52.399,19.459
2022,84.995,1.419
2001,20,254
2020,45.5,33.557
2013,26.95,188.645
2015,31,71
2011,12.788,127.72
2022,60.776,48.026
2016,28.991,78.75
2021,71.8,26.552
2022,74.995,15.945
2018,58,31.996
2015,33.955,65.844
2021,56.5,49.132
2019,44.994,56.375
2016,31.4,95
2019,52.795,90.138
2007,12.995,150.875
2019,55.967,58.862
2010,13.995,181.373
2022,51.976,45.737
2016,40.995,67.032
2022,53.995,24.923
2005,12,115
2021,46.55,41.671
2022,63.995,54.951
2006,27.995,93.5
2020,42.5,35.728
2021,43.099,55.656
2016,28.995,68.1
2022,64.205,55.988
2022,58,27.022
2022,52.995,21.085
2022,54.5,41.216
2022,56.988,47.571
2022,79.989,28.265
2014,37.599,33.293
2017,50.795,78.302
2022,56.7,38.332
2004,19.999,211.005
2016,17.5,108.929
2016,44,51.165
2019,46.9,70.126
2022,61.9,77.62
2022,53.117,11.967
2022,53.658,15.694
2019,54.991,79.493
2022,43.995,39.875
2020,50.995,40.342
2022,59.3,42.225
2019,62.9,25.089
2012,22.5,54.156
2020,62.999,46.355
2020,54.995,28.566
2013,21.999,66.025
2022,64.04,65.554
2020,49.495,64.066
2023,66.854,28.001
2008,20,97
2021,59.99,36.77
2014,29.999,118.069
2012,27.999,81.305
2020,47.5,28.166
2020,53.517,75.825
2020,47.9,44.542
2020,58.75,22.037
2022,55.995,36.405
2014,22.99,156.166
2019,37,50.32
2020,50.996,61.875
2019,42.9,74.277
2022,73.99,41.774
2019,46.99,62.406
2022,58.99,3.964
2017,37.995,92.235
2018,58.99,51.249
2022,55.898,21.61
2020,56.5,63.12
2020,48.525,45.185
2016,34.995,91.826
2020,51.1,54.475
2016,41.995,52
2022,77.361,16.048
2020,45.9,15.48
2019,66.995,59.931
2019,71.99,43.77
2022,57.987,25.361
2019,49.25,76.897
2017,34.999,86.452
2020,55.75,63.253
2014,27.995,134.89
