year,price,mileage
2015,14.995,72.509
2020,20.995,30.185
2019,16.99,73.231
2019,26.995,23
2019,22.9,16.67
2008,4.999,141.857
2013,6.388,140.097
2018,16,26.911
2020,17.995,93.527
2019,15.995,102.524
2020,26.899,21.417
2014,12.995,91.588
2017,10.995,76.5
2019,17.85,24.172
2020,21.9,34.008
2019,16.95,31.159
2018,15.697,55.41
2016,11.995,78.726
2018,18.999,30.71
2020,18.694,55.824
2014,9.99,112.179
2014,8,146.14
2020,23.946,4.279
2020,17.5,74.1
2020,19.99,42.35
2020,17.941,45.747
2015,10.999,115.319
2014,14.995,19.086
2018,16.375,40.821
2020,14.985,80.166
2018,20.995,34
2018,16.124,42.483
2019,17.268,47.741
2010,8.999,66.142
2011,9.5,81.097
2016,13.999,60.048
2017,16.997,32.11
2020,17.425,68.387
2016,13.995,91.605
2017,13.995,74.984
2020,19.4,59.434
2019,14.995,90.282
2020,17.725,41.512
2018,11.495,97.1
2012,8.495,88.5
2017,12.221,93.965
2020,18.997,59.728
2018,19.488,29.469
2017,12.064,119.471
2018,12.5,73.3
2020,17.9,66.768
2020,19.8,62.087
2019,16.999,80.722
2019,25.995,36.552
2012,14.995,23.915
2019,19.995,42.647
2017,9.995,83.8
2016,13.7,78.847
2016,12.722,78.712
2020,21.9,38.637
2020,22.999,63.13
2017,15,49.368
2017,14.29,54.315
2020,21.3,60.174
2017,18.888,59.871
2012,6.488,112.461
2020,20.997,52.4
2020,19.376,57.146
2017,15.15,41.741
2020,21.995,26.953
2014,14.088,63.959
2019,12.998,90.3
2018,17.998,64.364
2014,11.999,160.405
2019,18.9,38.133
2020,13.895,82.672
2016,16.499,46.402
2020,26.995,8.5
2020,20.995,32.227
2015,12.999,95.301
2016,13.99,89.884
2019,16,63.1
2016,13.989,62.457
2015,11.651,91.049
2014,9.945,95.703
2019,17,41.505
2020,15.49,25.635
2019,12.995,75.9
2020,19.8,62.77
2019,13.995,63.1
2020,22.99,40.152
2017,12.9,73.849
