"","year","price","Location"
"1",2012,9.995,"Albany"
"2",2019,14.48,"Albany"
"3",2017,12.998,"Albany"
"4",2012,6.999,"Albany"
"5",2014,7.495,"Albany"
"6",2017,19.95,"Albany"
"7",2018,17,"Albany"
"8",2003,2.999,"Albany"
"9",2006,5.95,"Albany"
"10",2017,18.999,"Albany"
"11",1996,5.995,"Albany"
"12",2018,11.495,"Albany"
"13",2015,13.564,"Albany"
"14",2014,6.983,"Albany"
"15",2003,1,"Albany"
"16",2001,5.999,"Albany"
"17",2017,8.994,"Albany"
"18",2013,10.954,"Albany"
"19",2023,46.975,"Albany"
"20",2022,25.995,"Albany"
"21",2023,43.995,"Albany"
"22",2022,25.995,"Albany"
"23",2017,19.3,"Albany"
"24",1998,10.483,"Albany"
"25",2007,14.495,"Albany"
"26",2022,52.769,"Albany"
"27",2016,16.9,"Albany"
"28",2016,28.5,"Albany"
"29",1992,26.995,"Albany"
"30",2023,41.5,"Albany"
"31",2021,23.795,"Albany"
"32",1988,21.995,"Albany"
"33",2017,53.89,"Albany"
"34",2015,17.651,"Albany"
"35",2021,24.995,"Albany"
"36",2021,43.99,"Albany"
"37",2005,25.999,"Albany"
"38",2024,64.925,"Albany"
"39",2021,24.995,"Albany"
"40",2021,49.9,"Albany"
"41",2022,52,"Albany"
"42",2022,87.45,"Albany"
"43",2015,25.995,"Albany"
"44",2017,57.495,"Albany"
"45",2021,42.984,"Albany"
"46",2020,36.995,"Albany"
"47",2023,42.985,"Albany"
"48",2009,13.999,"Albany"
"49",2023,57.99,"Albany"
"50",2014,15.285,"Albany"
"51",2015,30.593,"Albany"
"52",2006,13.995,"Albany"
"53",2021,31.995,"Albany"
"54",2014,17.995,"Albany"
"55",2006,16.295,"Albany"
"56",2021,24.495,"Albany"
"57",2007,17.994,"Albany"
"58",2022,35.995,"Albany"
"59",2020,117.95,"Albany"
"60",2021,23.995,"Albany"
"61",2014,16.999,"Albany"
"62",2007,13.994,"Albany"
"63",2004,48.5,"Albany"
"64",2015,15.995,"Albany"
"65",2022,67.99,"Albany"
"66",2001,9.995,"Albany"
"67",2018,19.995,"Albany"
"68",2017,36.995,"Albany"
"69",2020,43.736,"Albany"
"70",2020,34.995,"Albany"
"71",1991,8.519,"Albany"
"72",2020,46.29,"Albany"
"73",2018,62,"Albany"
"74",2021,42.626,"Albany"
"75",2019,70.2,"Albany"
"76",2022,43.995,"Albany"
"77",2023,43.537,"Albany"
"78",2020,42.995,"Albany"
"79",2021,24.995,"Albany"
"80",2021,33.995,"Albany"
"81",2021,49.99,"Albany"
"82",2021,40.695,"Albany"
"83",2021,22.995,"Albany"
"84",2020,40.4,"Albany"
"85",2023,45.99,"Albany"
"86",2021,24.995,"Albany"
"87",2020,24,"Albany"
"88",2012,8.988,"Albany"
"89",2008,45.5,"Albany"
"90",2014,13.995,"Albany"
"91",2007,30,"Albany"
"92",2016,18.595,"Albany"
"93",2019,30.65,"Albany"
"94",2022,41.991,"Albany"
"95",2016,49.995,"Albany"
"96",2024,49.695,"Albany"
"97",2015,17.9,"Albany"
"98",2004,8.95,"Albany"
"99",2006,14.599,"Albany"
"100",2006,14.5,"Albany"
"101",2020,23.995,"Albany"
"102",2023,46.991,"Albany"
"103",2018,32.997,"Albany"
"104",2021,24.995,"Albany"
"105",2021,41.985,"Albany"
"106",2020,20.95,"Albany"
"107",2005,13,"Albany"
"108",2024,69.99,"Albany"
"109",2022,75.992,"Albany"
"110",2021,26.995,"Albany"
"111",2023,45.499,"Albany"
"112",2021,23.995,"Albany"
"113",2015,31.5,"Albany"
"114",2015,23.995,"Albany"
"115",2006,6.988,"Albany"
"116",2018,22.999,"Albany"
"117",2021,41.99,"Albany"
"118",2006,24.9,"Albany"
"119",2024,69.99,"Albany"
"120",2022,43.198,"Albany"
"121",2015,28.5,"Albany"
"122",2021,35.99,"Albany"
"123",2019,21.635,"Albany"
"124",2021,24.75,"Albany"
"125",2021,42.995,"Albany"
"126",2020,44.99,"Albany"
"127",2023,56.99,"Albany"
"128",2008,32.95,"Albany"
"129",2015,14.995,"Albany"
"130",2020,20.995,"Albany"
"131",2019,16.99,"Albany"
"132",2019,26.995,"Albany"
"133",2019,22.9,"Albany"
"134",2008,4.999,"Albany"
"135",2013,6.388,"Albany"
"136",2018,16,"Albany"
"137",2020,17.995,"Albany"
"138",2019,15.995,"Albany"
"139",2020,26.899,"Albany"
"140",2014,12.995,"Albany"
"141",2017,10.995,"Albany"
"142",2019,17.85,"Albany"
"143",2020,21.9,"Albany"
"144",2019,16.95,"Albany"
"145",2018,15.697,"Albany"
"146",2016,11.995,"Albany"
"147",2018,18.999,"Albany"
"148",2020,18.694,"Albany"
"149",2014,9.99,"Albany"
"150",2014,8,"Albany"
"151",2020,23.946,"Albany"
"152",2020,17.5,"Albany"
"153",2020,19.99,"Albany"
"154",2020,17.941,"Albany"
"155",2015,10.999,"Albany"
"156",2014,14.995,"Albany"
"157",2018,16.375,"Albany"
"158",2020,14.985,"Albany"
"159",2018,20.995,"Albany"
"160",2018,16.124,"Albany"
"161",2019,17.268,"Albany"
"162",2010,8.999,"Albany"
"163",2011,9.5,"Albany"
