year,price,mileage
2017,13.995,129.682
2018,11.999,111.937
2017,21.995,36.871
2017,10.8,177.216
2013,8.995,204.699
1995,4.5,115
2017,18.488,47.284
2017,11.495,85.262
2015,11.999,92
2011,16.4,101.993
2019,16.98,71.763
2015,12.998,67.235
2017,13.995,149.732
2012,8.995,0
2017,20.995,54.607
2014,12.572,84.708
2016,15.895,112.125
2010,7.974,130.568
2017,20.995,64.409
2018,16.909,78.26
2015,11.995,92.622
2009,2.75,168.076
2013,11.111,104.067
2018,18.588,43.454
2017,21.995,98.033
2019,17.995,54.246
2016,9.2,104.5
2017,14.501,86.777
2019,19.49,39.769
2013,10.99,76.073
2018,17.9,81.417
2017,19.6,27.41
2016,17.498,55.044
2015,10.89,95.566
2017,16.79,8.36
2015,9.999,110.989
2003,4.999,56.65
2015,10.995,46.766
2016,9.997,125.242
2019,25.999,67.789
2017,25.295,54.373
2017,17.99,11.512
2013,11.995,102.228
2017,8.995,191.239
2016,10.995,159.807
2017,12.8,42.323
2018,13.3,99.21
2018,14.998,77.452
2010,7.99,101.019
2016,13.5,69.729
2012,6.995,117.485
2016,9.995,79.517
2005,3.995,113.264
