year,price,mileage
2016,31.987,95.535
2017,45.5,58.19
2019,39.444,138.226
2016,25.999,92.206
2022,48.231,11.208
2009,17.9,208.826
2020,54.531,89.3
2019,52.995,79.03
2022,54.99,26.81
2022,63.995,36.505
2018,28.999,60.236
2008,4.9,309.796
2016,37.996,42.664
2023,63.977,1.378
2017,23.6,133.799
2010,12.95,163.372
2006,10.999,133.236
2022,34.995,74.864
2017,42.99,56.854
2022,47.9,0.005
2020,66.995,33.017
2015,20.799,115.43
2021,48.8,35.535
2021,45.923,49.389
2019,45.995,60.729
2021,60.495,67.95
2012,27.5,91.5
2014,25.35,57.961
2015,39.8,5.985
2016,24.5,153.857
2023,87.663,13.98
2003,5,115
2022,48.588,44.275
2000,13.9,158
2009,13.999,125.619
2016,21.995,100.791
2012,18.995,321.67
2020,49.795,36.526
2022,54.852,48.428
2023,77.099,3.516
2015,36.995,84.591
2021,45.846,43.689
2019,35.245,67.758
2008,16,155
2022,46.992,2.89
2022,50.8,46.313
2022,76.5,18.205
2016,49.988,56.273
1995,44.5,126.909
2015,29.795,21.07
1997,45.9,132.83
2019,31.995,99.1
2006,11.99,131.8
2004,9.9,225
2019,47.995,64.134
2019,44.99,70.449
2022,46.981,42.361
2019,36.881,58.821
2021,54.99,38.526
2019,27.995,78.5
2022,47.762,51.076
2019,21.847,131.833
2016,25.99,92.521
2023,74.99,4.491
2016,13.9,156.803
2018,29.695,84.905
2022,47.535,35.742
2001,22.895,86.799
2022,42,43.098
2010,24.5,71.5
2022,47.09,52.075
2022,54.316,11.843
2021,63.9,34.385
2023,59.9,35.65
2015,29.95,27.482
2017,31.995,65.026
2015,23.995,99.241
2013,25.995,70.311
2020,44.73,5.615
2015,36.912,34.669
2022,47.499,58.193
2022,49.495,41.003
2017,52,28
2021,49,45.674
2021,67.5,50.86
2022,47.999,50.433
2017,29.999,79.241
2018,42,72
2015,39.99,62.914
2018,42.499,63.109
2019,30.977,90.885
2011,20.495,121.35
2019,52.498,77.79
2020,48.995,52.63
2008,14.79,134.392
2021,72.5,28.777
2011,34.8,75.503
2021,60.999,68.799
2017,50.843,74.018
2023,83.981,4.925
2019,54.896,88.243
2015,24.999,110.165
2022,44.5,35.882
2023,58.988,27.9
2015,28.999,79.919
2016,26.995,87.992
2003,18.895,96.222
2012,23.5,239
2012,26.5,98.101
2017,55.355,92.005
1997,52.5,106.796
2019,58.68,82.012
2022,50.8,16.955
2018,32.409,115.085
2006,12.999,141.906
2018,35.488,79.782
2023,59.99,1.755
2019,67.69,45.005
2019,42.995,82.316
2017,29.997,73.565
2013,23.99,163.218
2020,47.975,25.957
2017,26.8,49
1997,44.9,136.087
2013,39.888,52
2017,41.995,85.888
2016,36.988,57.238
2017,54.99,88.353
2019,41,110.159
2020,47.8,33.989
2014,37.495,86.91
2016,24,65.569
2022,80.499,5.867
2015,24.995,41.052
2022,53.9,31.275
2017,38.995,175.331
2010,25.9,128.287
2023,58.495,15.037
2021,62.988,57.067
2013,18.5,147.348
2023,87.5,7.934
1995,49.5,88.17
2020,44.99,59.984
2018,57.175,82.831
2020,60.988,42.181
2022,47.999,58.61
2020,63.5,49.003
2015,39.995,84.76
2022,41.25,57.064
2023,49.777,12.143
2017,31.499,77.925
2020,60.988,14.773
2023,93.595,15.19
2018,39.588,71.959
1997,49.9,101.321
2013,24.442,2.276
2009,22.995,92.439
2008,19.5,85.202
2008,8.398,88.916
2023,61,6.83
2015,29.995,125.387
2022,53.995,29.245
2022,43.937,56.75
2015,26.999,39.661
2003,3.99,166.372
2021,38.5,45.933
2008,19.495,150.558
2022,71.485,21.459
2016,36.715,46.225
2016,24.99,120.934
2014,31,83.023
2023,52.595,0.055
2011,10.5,235
2017,40.995,97.527
2019,32.995,108.21
2008,6,151.21
2021,60.9,40.459
2019,60.888,22.447
2011,18.995,39.788
2015,20.444,91.878
2022,47.5,36.375
2022,46.988,15.952
1997,49.5,136.721
2022,47.977,26.906
2023,59.623,12.033
2012,7.5,228.979
2015,26,91
2007,12.5,235.795
1996,44.9,128.708
2013,24.442,3.197
2014,28.999,113.52
2020,44.495,38
2019,57.9,14.05
2008,11.995,201.685
2015,25.99,83.095
2001,9,85
2015,21.9,114.462
2016,24.995,81.675
2022,70,20.5
2022,48.546,50.168
2018,31.599,109.895
2020,56.994,71.239
2002,18,217
2021,61.989,40.917
2023,90.5,11.194
2019,46.995,90.815
2012,13.8,164.929
2022,49.5,19.765
2021,39.895,102.639
2016,22.995,90.134
2009,12.495,133.5
2015,27.999,30.877
2022,48.44,46.295
2021,66.49,59.242
2010,12.995,85.384
2017,9.999,197.852
2004,10.9,280
2019,38.5,24.51
2015,22.987,70.049
2016,32.5,44.049
2021,45.888,61.074
2012,10.5,175
2022,59.851,70.21
2023,64.995,18.579
2018,28.7,48
2022,50.95,41.2
2019,39.87,27.107
2022,63.998,33.192
2022,56.888,72.702
2017,14.895,167
2018,42.995,100.186
2014,23.995,11.469
2016,36.811,77.776
2010,11.99,220.443
2012,28.14,93.936
2015,38.407,71.77
2019,38.295,38.173
2023,107.99,6.563
2021,40.885,72.234
2020,49,31.7
2021,68.285,41.554
2022,47.024,43.677
2019,57.028,54.43
2021,39.988,59.261
1997,54.5,93.521
2012,34.9,109
1996,16,153
2008,4.45,198
2017,23.9,142.502
2022,64.99,30.318
2016,18.99,72.39
2015,18.45,126.506
2013,30.995,89.493
2011,20.895,0
2023,79.9,7.995
1996,49.5,97.313
2022,64.435,25.466
2023,53,6.526
2015,13.995,80.961
2010,22.5,80.423
2017,57.468,69.218
2020,58.027,70.275
2018,52.795,67.39
1997,39.999,58
2022,50.851,22.561
2022,71.488,10.702
2002,6.995,195.866
2019,35.9,98.003
2000,33.9,115.744
2022,38.999,37.332
2021,47.702,52.013
2010,11.995,194.429
2021,33.6,90.984
1997,59.5,138.666
2021,37.509,66.401
2015,23.95,106.828
2021,61.449,53.37
1996,46.5,111.939
2022,54.995,44.105
2022,62.913,10.111
2019,35.995,91.538
2020,36.996,65.337
2015,16.95,140.177
2016,32.07,115.521
