year,price,mileage
2021,28.988,31.6
2022,29.989,35.906
2021,34.995,11.901
2020,27.988,31.678
2021,30.619,30.236
2021,31.204,23.93
2023,47.995,7.7
2021,31.941,22.286
2017,15.995,127.112
2020,26.095,45.76
2021,31.476,22.589
2021,31.288,16.393
2021,37.98,26.998
2019,26.39,33.321
2021,31.199,14.356
2021,36.139,33.684
2021,31.694,24.039
2021,25.998,44.011
2016,17.999,78.3
2021,27.995,23.795
2021,29.895,37.625
2021,28.995,27.052
2021,29.984,20.667
2021,30.723,27.617
2021,29,29.176
2021,26.796,41.03
2021,31.3,22.228
2021,34.991,49.402
2022,35.914,27.502
2022,34.447,13.582
2020,24.39,47.845
2021,29.491,23.665
2021,30.412,25.709
2022,33.39,18.842
2020,27.493,31.482
2021,31.83,28.909
2022,31.995,19.163
2021,33.795,15.606
2022,33.891,10.458
2021,33.388,28.916
2021,41.9,29.694
2022,34.8,16.927
2015,16.959,62.866
2023,35.998,7.07
2021,38.99,19.5
2021,28.998,35.685
2020,20.888,52.298
2022,46.389,8.972
2014,17.99,72.001
2017,19.819,50.223
2020,29.9,55.609
2002,5.695,140.703
2018,25.99,25.746
2022,41.25,14.04
2019,24.99,37.217
2020,29.195,19.297
2021,29.718,37.17
2021,28.232,34.559
2022,33.722,7.441
2022,46.999,8.024
2017,18.19,62.906
2020,39.995,38.076
2018,20.995,70.295
2021,30,33
2019,14.496,142.441
2020,24.988,61.869
2020,23.995,32.792
2021,31.222,39.014
2021,28.99,29.244
2020,23.995,57.642
2021,39.988,30.401
2013,10.399,151.215
2020,27.388,51.301
2017,14.995,104.527
2021,30.2,39.234
2020,36.128,26.963
2020,25.699,57.717
2021,29.695,34.66
2020,24.99,52.362
2021,32.27,29.515
2021,28.895,39.312
2021,34.795,41.592
2021,31.995,25.333
2020,26.795,34.233
2021,28.946,42.657
2021,22.995,50.009
2018,19.995,62.3
2021,31.976,21.775
2021,33.588,20.95
2015,16.9,47.134
2021,30.333,34.891
2020,27.8,32.186
2020,28.497,22.073
2020,37.312,34.255
2021,29.997,18.156
2021,41.8,31.565
2018,24.989,59.961
2023,33.486,14.817
2021,28.563,37.623
2022,31.944,9.613
2021,28.455,46.758
2022,31.145,21.103
2020,28.447,35.56
2016,19.39,73.696
2021,25.998,42.887
2022,32.24,11.64
2019,26.895,24.934
2021,26.787,40.24
2017,20.459,86.507
2021,29.792,22.187
2020,28.498,29.644
2022,32.491,14.344
2015,13.5,134
2021,27.493,29.667
2023,38.42,12.437
2021,37.495,40.5
2021,32.675,71.996
2020,25.49,26.642
2021,31.491,20.723
2020,29.812,31.272
2021,30.99,21.498
2020,26.672,52.969
2021,29.109,36.815
2023,36.895,21.619
2016,14.299,104.992
2021,32.5,34.14
2014,13.795,90.485
2020,29.995,30.072
2022,31.973,12.231
2023,55.995,3.148
2021,26.59,46.386
2022,34.948,10.854
2020,27.495,37.715
2021,26.999,32.942
2023,46.995,3.074
2021,29.733,43.9
2022,34.447,12.746
2021,32.997,15.694
2020,23.338,49.051
2022,37.385,8.918
2021,28.405,40.461
2020,30.982,37.814
2021,29.495,41.372
2021,31.98,25.792
2021,27.25,32.415
2021,30.088,34.23
2023,38.49,9.367
2021,27.936,29.675
2020,29.946,29.279
2021,29.766,38.384
2020,20.266,101.282
2020,28.31,37.275
2021,28.495,31.416
2021,29.654,28.713
2020,26.5,36.932
2020,25.795,56.913
2021,28.614,37.105
2021,37.777,30.993
2022,39.75,9.2
2021,29.595,30.963
2021,29.999,23.198
2015,15.917,68.738
2021,29.543,30.692
2020,26.195,38.459
2017,17.72,34.46
2021,32.165,14.951
2021,30.395,17.668
2015,11.547,137.441
2015,12.5,115.332
2021,31.524,27.435
2018,25,55.16
2021,34.333,23.761
2021,33.975,21.796
2021,31.99,15.125
2020,36.989,37.468
2020,26.295,47.146
2021,31.5,28.609
2017,21,101.1
2021,33.491,30.922
2015,16.99,59.443
2021,28.25,37.54
2021,28.797,26.843
2020,25.989,41.307
2020,27.9,43
2020,30.351,24.759
2021,29.995,38.54
2020,26.689,34.049
2017,20.525,85
2021,29.447,28.905
2020,31.674,34.676
2018,16.93,83.348
2020,19.998,79.618
2021,28.99,26.428
2023,43.3,7.485
2021,33.995,14.472
2021,27.288,51.208
2022,34.8,15.871
2021,30.5,33.745
2020,30.277,23.636
2018,17.8,87.74
2021,38.912,19.785
2021,35.998,45.922
2020,28.295,30.636
2021,29.995,40.071
2020,26.955,48.832
2020,33.997,44.234
2021,30.953,22.538
2021,27.499,22.471
2021,28.288,39.09
2021,40.998,15.486
2020,28.395,31.288
2021,32.432,11.733
2021,30.33,23.789
2020,30.979,20.491
2015,18.5,61.2
2022,32.99,13.968
2021,30.59,20.639
2022,27.973,14.002
2021,35.999,60.444
2021,30.398,26.532
2021,29.998,43.05
2021,30.412,32.429
2021,43.976,5.535
2023,44.499,3.981
2021,57,10.918
2020,25.95,37.714
2022,45.478,3.065
2022,34.99,6.159
2017,22.695,45.092
2021,34.494,31.495
2019,30.973,34.996
2023,48.9,5.762
2020,25.888,23.854
2021,27.998,39.585
2017,18.795,43.702
2017,18.995,59.198
2018,23.999,36.454
2016,17.609,95.68
2022,36.959,11.237
2016,16.999,85
2020,33.898,40.365
2015,13.695,96.896
2021,38.988,32.18
2023,56.995,0.76
2021,29.998,39.246
2018,22.995,58.14
2022,34.78,44.528
2021,30.291,40.781
2021,29.99,21.152
2018,18.688,72.117
2020,26.885,22.726
2021,31.995,22.805
2020,27.495,33.51
2021,31.359,31.677
2021,30.895,21.263
2017,25.444,39.436
2021,36.333,41.631
2021,38.367,32.392
2023,38.88,3.143
2023,39.995,5.126
2021,28.874,28.123
2021,29.02,36.197
2023,35.746,11.563
2021,31.995,19.279
2021,28.295,33.607
2021,39.484,38.668
2021,32.995,25.246
2021,31.295,17.482
2020,28.99,40.524
2020,29.995,30.292
2021,27.995,43.721
2021,34.995,47.174
2017,24.5,24
2020,36.995,38.38
2021,30,34.773
