year,price,mileage
2010,29.8,29.5
2012,12.982,56.012
2013,11.497,117.459
1998,15.3,34
2015,22.9,33.17
2021,18.946,61.394
2013,14.975,66.647
2019,21.584,47.885
2022,147.995,1.765
2022,40.494,28.072
2022,36.811,2.1
2016,53,10.189
2007,40,2.848
2007,37,13.5
2022,31.795,20.562
2010,13.895,62.935
2015,31.5,19.5
2019,32.178,38.599
2019,49.5,7.5
2019,21.315,48.911
2020,26.5,32.5
2021,42.626,10.759
2022,36.999,18.024
2001,9.5,104.5
2019,36.9,25.89
2021,24.994,50.427
2007,20.995,32.329
2022,42.995,1.058
2015,19.488,52.895
2019,44.995,14.59
2018,16.495,83.205
2020,29.324,15.835
2020,25.995,18.579
2015,30.593,36.48
2022,23.935,44.016
2011,20.3,49.5
2016,18.476,77.062
2007,18.995,51.506
2020,62.998,32.963
2014,20.598,84.38
2019,30.65,39.997
2017,19.695,66.636
2019,19.999,42.233
2017,58.9,12.5
2005,30,10.05
2018,20.995,24.846
2021,40.695,19.39
2016,54.595,14.422
2022,37.589,16.366
2008,21.9,55.5
2022,45.995,19.675
2017,17.785,74.641
2022,27.895,8.908
2021,23.612,60.22
2006,23.5,40
2016,52.944,6.257
2014,12.99,63.812
2016,29.995,51.494
2016,47,42
2021,36.495,9.319
2017,19.95,57.138
2021,19.9,58.077
2024,69.99,0.216
2022,42.495,12.12
2017,28.998,51.416
2021,24.91,47.78
2005,25,14.4
2009,10,108.14
2020,43.736,11.667
2020,35.102,11.42
2021,42.984,7.547
2020,21.399,26.266
2023,51.99,11.169
2018,32.997,45.688
2019,66.895,17.796
2024,69.99,0.048
2021,35.99,39.995
2013,12.99,128.072
2005,15.995,53.4
2014,64.554,4.21
2014,11.819,92.215
2017,46.95,39.435
2013,62,23.2
2024,41.988,4.678
2013,24.5,66.925
2021,22.925,59.388
2018,36,6.433
1996,18,88
2018,17.4,81.381
2024,43.495,0.388
2012,63,2.7
2005,15,50
2024,50.899,1.465
2021,24.494,58.651
2022,52.769,5.947
2001,21.968,29.434
2008,8.6,111.702
1990,18.985,74.029
2020,20.899,60.205
2022,43.995,9.882
2023,39.123,0.85
2020,26.295,19.311
2018,19.972,54.652
2015,17.9,50.056
2019,33.999,92.919
2017,29.594,64.824
2023,56.99,0.367
2008,47.5,7.203
2021,23.994,66.545
2022,52.999,3.416
2015,26.995,48.345
2016,18.595,89.057
2015,24.99,23.042
2003,77.777,3.2
2021,23.998,57.12
2013,12.75,86.121
2017,18.995,64.474
2021,37.995,25.655
2021,36.595,33.96
2021,19.881,65.071
2017,25.95,15.495
2020,32.7,20.728
2005,15.975,69.432
2020,27.995,37.605
2015,26.999,46.159
2022,45,1.428
2013,10.599,109.975
2005,13,41
2019,18.997,79.428
2021,23.677,56.056
2023,25.49,12.892
2021,25.995,27.439
2021,41.985,7.147
2021,46,3
2020,41.987,2.629
2014,18.55,35.012
2016,16.977,78.896
2014,28.599,36.378
2019,26.995,22.034
2016,18.5,40
2020,18.946,53.717
2013,65,1.85
2021,22.795,47.369
2022,34.931,56.295
2023,29.989,15.826
2015,16.8,36.285
2022,55.804,3.017
2016,19.666,18.831
2017,28.495,59.258
2023,45.25,4.642
2021,34.99,24.208
2019,33,39.5
2017,16.5,99.082
2019,30.75,71.031
2014,30,46
2016,27.499,46.92
2015,18.5,71
2022,37.917,10.448
2023,30.114,7.82
2022,46.543,4.673
2022,43.198,6.023
2020,79.9,2.38
2004,20,45.371
2021,43.99,31.051
2020,16.946,57.753
2020,19.995,49.016
2021,27.5,11.974
2024,44.988,2.055
2021,24,58.32
2021,49.99,7.961
2012,39.752,7.593
2021,23.777,54.768
1997,6.999,85.378
2022,52,0.8
2006,14.5,156
2022,58.892,2.97
2022,23.581,51.064
2019,19.935,57.844
2007,54.925,0.808
2013,34,17.5
2020,35.998,31
2022,39.991,16.844
2015,23.995,12.72
2021,30.62,57.294
2015,42.499,6.6
2019,20.3,65.9
2023,28.695,16.305
2021,18.9,59.183
2022,31.8,24.24
2015,15.995,85.378
2021,24.995,48.153
2019,24.108,20.779
2006,9.499,114.209
2023,44.795,15.776
2016,33.492,21.407
2023,29.993,27.784
2020,36.95,7.367
2020,20.95,63.015
2015,25.995,66.086
2007,46.995,1.6
2016,15.881,69.199
2018,64.995,3.609
2013,22.707,74.855
2021,31.9,44.104
2018,32.3,33.983
2021,26.488,34.477
2020,24,62
2016,23.995,7.31
2020,80.598,18.8
2017,29.99,66.312
2023,42.996,24.566
2019,24.502,15.996
2015,16.977,55.638
2008,45,20.447
2021,17.546,60.844
2007,15.5,139
2023,41.4,0.883
2023,42.985,3.517
2006,6.7,147.654
2017,26.988,56.903
2020,22.295,50.616
2016,49.995,41.346
2024,39.939,6.33
1994,13.99,82.731
2021,24.494,56.886
2020,117.95,0.1
2020,42.995,19.948
2018,29.994,25.27
2017,53.89,31.145
2019,33.995,41.257
2011,11.525,82.298
2006,16.295,51.6
2017,29.695,50
2022,40,22.191
2000,5.4,125
2020,18.726,55.474
2017,61.5,19
2007,45.988,0.693
2004,16,46
2007,27.995,21.887
2023,43.985,14.247
2023,26.935,25.593
2018,22.999,29.38
2019,23.995,49.824
2006,13.995,74.9
2021,22.995,52.801
2018,28.995,74.946
2021,25.988,37.903
2018,21.998,71.539
2021,24.994,50.849
2019,24.8,36.1
2017,27.247,54.87
2013,26,21.63
2004,12.995,47.895
2017,30.218,15.515
2021,24.995,49.989
2022,35.9,15.392
2017,31.995,23.645
2007,39.999,2.605
2014,21.999,67.172
2007,11.5,93
2011,14.99,115.388
2021,22.477,66.823
2024,37.989,2.109
2022,42.95,3.604
2019,35.309,8.66
2021,20.495,69.846
2021,31.561,23.445
2017,56.944,5.585
2020,21.572,48.952
2020,44.99,11.931
2017,19.975,61.331
2006,24.9,36.25
2024,50.395,2.935
2016,50.95,29.704
2015,28.5,40
2021,29.581,54.259
2007,14.495,69.6
2018,22.795,55.211
2020,32.895,59.944
2020,32.156,34.494
2021,24.9,27.833
2024,46.444,0.232
2016,24,84.247
2020,94.691,3.47
2017,57.495,26.451
2022,24.935,31.092
2011,19.195,54.465
2001,29.999,2.168
2017,25.995,58.923
2020,33.53,21.09
2024,64.925,1.1
2024,37.939,11.132
2020,50,7.5
2021,89.999,2.8
2006,24.999,20.58
2015,14.516,84.994
2015,30.99,9.837
1992,26.995,41.379
2007,41.995,19
