year,price,mileage
2022,27.4,21.706
2019,17.995,78.2
2024,40.08,2.451
2021,26.495,28.4
2007,5.99,126.918
2016,14.095,113.17
2018,21.915,57.355
2010,7.499,143.893
2020,24.9,41.452
2018,14.952,49.31
2024,43.592,4.816
2012,10.498,87.822
2020,21.222,70.811
2021,27.99,12.905
2023,38.695,5.685
2024,39.995,2.15
2020,27.712,45.181
2020,22.995,38.016
2020,25.9,33.495
2017,13.988,91.998
2020,20.599,60.746
2023,34.668,2.008
2020,22.778,37.011
2018,15.588,76.805
2020,20.95,90.14
2021,23.999,29.385
2019,23.987,57.981
2024,44.68,2.414
2019,22.875,43.252
2020,20.987,55.169
2019,17.597,68.934
2023,33.9,10.278
2019,21.122,36.571
2019,20.74,46.296
2013,13.95,42.208
2022,27.9,18.843
2020,22.526,43.879
2024,46.245,0
2018,17.149,93.064
2015,19.995,57.513
2022,23.999,59.075
2014,15.997,44.521
2024,44.354,2.675
2015,15.25,72.5
2020,27.998,13.044
2019,23.495,49.271
2023,38.503,2.734
2022,24.983,49.531
2022,27.222,25.402
2020,25.317,26.645
2022,24.4,37.905
2019,18.995,57.383
2020,26.288,19.157
2024,39,3.637
2020,27.333,12.82
2021,31.99,14.881
2022,27.799,5.301
2020,21.999,26.154
2015,12.987,91.448
2019,20.39,44.135
2014,13.795,62.406
2016,19.5,60.34
2016,10.9,120.369
2022,21.499,52.016
2022,24.999,53.41
2015,19.5,42.086
2020,22.045,26.757
2013,11.59,95.467
2014,17.995,31.753
2013,5.5,171.637
2019,17.995,60.583
2007,5.49,74.275
2019,23.998,36.855
2020,21.495,35.157
2020,28.995,24.493
2020,25.277,18.085
2021,26.395,20.55
2017,19.95,14.046
2018,20.5,49.133
2022,27.991,25.774
2023,32.995,3.235
2018,18.495,70.453
2022,27.95,5.82
2017,17.217,63.787
2014,11.883,95.342
2024,38.719,2.803
2019,17.845,103.584
2020,24.65,20.041
2022,33.99,14.114
2023,29.95,9.306
2023,35.213,13.935
2022,30,16.692
2021,25.995,16.895
2021,29.652,11.693
2020,18.195,44.853
2020,24.995,31.483
2022,23.999,53.256
2020,21.994,44.866
2017,18.895,55.472
2015,15.549,61.125
2016,11.984,105.76
2021,34.895,40.978
