year,price,mileage
2014,28.599,36.378
2020,20.899,60.205
2020,36.988,31.713
2018,29.994,25.27
2021,78.5,18.9
2022,24.935,31.092
2023,51.99,11.169
2020,21.572,48.952
2023,45.25,4.642
2022,52,0.8
2015,18.5,71
2023,28.988,31.931
2021,22.477,66.823
2021,24.994,50.427
2014,64.554,4.21
2003,77.777,3.2
2015,17.999,96.238
2016,50.95,29.704
2000,5.4,125
2016,29.995,51.494
2022,46.543,4.673
2016,23.995,7.31
2020,21.399,26.266
2021,27.5,11.974
2011,11.525,82.298
2017,30.218,15.515
2013,16.99,103.299
2021,24.994,50.849
2004,12.995,47.895
2018,20.995,24.846
2024,44.988,2.055
2022,55.804,3.017
2023,29.993,27.784
2021,89.999,2.8
2016,54.595,14.422
2020,19.995,58.93
2024,50.395,2.935
2020,18.946,53.717
2004,20,45.371
2024,46.444,0.232
2019,18.997,79.428
2022,29.331,21.092
2023,41.4,0.883
2019,30.595,70.565
2021,31.561,23.445
2021,19.881,65.071
2020,16.946,57.753
2024,50.998,1.678
2019,23.4,32.44
2015,28.762,46.745
2007,41.995,19
2012,39.752,7.593
2015,14.516,84.994
2018,36,6.433
2013,26,21.63
2017,25.95,15.495
2020,80.598,18.8
2021,24.9,27.833
2023,49.998,6.213
2023,30.8,22.786
2023,28.695,16.305
2022,23.935,44.016
2023,28.996,4.565
2021,36.495,9.319
2021,37.495,8.237
1997,6.999,85.378
2024,53.998,0.039
2016,19.666,18.831
2015,31.5,19.5
2005,10.75,67.431
2007,18.995,51.506
2010,29.8,29.5
2014,20.598,84.38
2019,21.584,47.885
2017,29.695,50
2012,12.982,56.012
2021,24,58.32
2019,66.895,17.796
2016,47,42
2007,20.995,32.329
2013,62,23.2
1998,15.3,34
2019,19.935,57.844
2019,32.178,38.599
2020,41.987,2.629
2006,24.999,20.58
2017,36.998,9.536
2020,47.556,4.919
2021,31.9,44.104
2022,58.892,2.97
2019,24.108,20.779
2020,18.726,55.474
2013,65,1.85
2021,30.62,57.294
2022,45,1.428
2018,21.998,71.539
2024,51.339,0.043
2013,28.999,9.344
2017,19.95,57.138
2016,15.881,69.199
2015,16.295,79.636
2021,36.595,33.96
2012,25.9,48.447
2021,37.995,5.315
2021,26.488,34.477
2005,25,14.4
2021,22.49,54.889
2023,43.985,14.247
2007,45.988,0.693
2017,46.95,39.435
2022,54.99,2.546
2016,18.476,77.062
2017,22,55
2022,34.931,56.295
2005,15.995,53.4
2007,27.995,21.887
2021,22.95,56.393
2019,49.5,7.5
2011,19.195,54.465
2020,33.53,21.09
2017,23.998,14.96
2007,40,2.848
2001,6.999,127.194
2021,24.494,58.651
2023,44.795,15.776
2021,26.99,58.806
2011,20.3,49.5
2015,30.99,9.837
2006,15.995,54.116
2020,29.324,15.835
2020,20.995,59.506
2016,16.975,79.467
2019,21.315,48.911
2006,23.5,40
2019,19.999,42.233
2017,27.247,54.87
2018,19.972,54.652
2016,33.492,21.407
2020,20.5,63.96
2017,19.695,66.636
2020,27.995,37.605
2007,37,13.5
2021,19.9,58.077
2013,14.975,66.647
2022,38.995,16.507
2020,22.295,50.616
2020,35.998,31
2005,15.975,69.432
2021,25.988,37.903
2021,22.75,56.158
2006,6.7,147.654
2020,32.156,34.494
2024,64.925,1.1
2021,22.988,54.768
1991,8.519,33.546
2018,22.795,55.211
2024,41.988,4.678
2020,35.102,11.42
2022,37.589,16.366
2023,43.899,11.257
2020,32.895,59.944
2022,35.9,15.392
2021,22.795,47.369
2001,9.5,104.5
2021,26.591,29.152
2020,26.295,19.311
2017,28.998,51.416
2005,30,10.05
2022,147.995,1.765
2021,36.989,12.3
2018,24.995,50.131
2007,39.999,2.605
2019,35.309,8.66
2021,24.494,56.886
2015,24.99,23.042
2020,94.691,3.47
2020,26.5,32.5
2012,35,69.225
2017,16.5,99.082
2020,50,7.5
2020,36.95,7.367
2019,33.999,92.919
2022,31.795,20.562
2021,37.995,25.655
2017,26.988,56.903
2011,14.99,115.388
2016,18.995,55.898
2016,27.499,46.92
1994,13.99,82.731
2017,19.975,61.331
2016,53,10.189
2022,23.581,51.064
2014,18.55,35.012
2011,11.3,83.401
2021,24.91,47.78
2007,15.5,139
2021,23.994,66.545
2021,17.546,60.844
2019,23.995,49.824
2024,43.495,0.388
2014,12.99,63.812
2019,32.427,34.135
2024,37.989,2.109
2021,24.998,65.206
2021,18.946,61.394
2020,21.69,62.053
2022,31.8,24.24
2017,28.495,59.258
2020,24.5,29.719
2021,22.995,55.415
2023,30.114,7.82
2022,40,22.191
1990,18.985,74.029
2018,32.3,33.983
2011,22,45.846
2001,21.968,29.434
1996,13.99,33.976
2019,24.8,36.1
2016,21.299,61.415
2021,34.728,42.525
2019,34.887,10.116
2023,29.989,15.826
2012,63,2.7
2016,18.5,40
2001,29.999,2.168
2017,58.9,12.5
2022,36.811,2.1
2015,42.499,6.6
2008,8.6,111.702
2013,11.497,117.459
2021,23.998,57.12
2013,24.5,66.925
2019,44.995,14.59
2022,42.995,1.058
2017,29.594,64.824
2024,50.899,1.465
2023,38.975,10.455
2006,9.499,114.209
2019,30.75,71.031
2017,22.995,38.535
2024,39.939,6.33
2005,15,50
2002,17.9,24.5
2021,29.981,42.864
2008,45,20.447
2014,11.819,92.215
2013,12.75,86.121
2023,25.49,12.892
2021,18.9,59.183
2007,11.5,93
2017,29.99,66.312
2023,26.935,25.593
2017,56.944,5.585
2016,52.944,6.257
2007,46.995,1.6
2019,24.502,15.996
2022,40.494,28.072
2022,27.895,8.908
2021,22.25,54.534
2015,19.488,52.895
2019,29.9,33
2021,24.995,48.153
2021,35.99,39.995
2020,20,50.674
2022,42.95,3.604
2013,28.993,27.045
2021,29.581,54.259
2024,37.939,11.132
2021,22.588,56.056
2019,26.495,11.886
2023,39.123,0.85
2013,14.85,64.569
2015,26.999,46.159
2022,42.495,12.12
2004,16,46
2009,10,108.14
2021,20.495,69.846
2010,13.895,62.935
2021,28.9,15.774
2018,35.99,7.383
2016,24,84.247
2017,18.995,64.474
2022,37.917,10.448
2022,45.995,19.675
1996,18,88
2024,58.991,0.043
2008,47.5,7.203
2015,22.9,33.17
2013,34,17.5
2014,21.999,67.172
2021,23.612,60.22
2020,62.998,32.963
2022,52.999,3.416
2018,17.4,81.381
2019,36.9,25.89
2021,25.995,27.439
2019,33,39.5
2022,39.991,16.844
2017,63.995,5.958
2008,21.9,55.5
