year,price,mileage
2017,8.995,191.239
2008,2.995,162.374
2013,10.99,76.073
2015,9.999,110.989
2017,17.995,97.553
2016,9.2,104.5
2010,7.99,101.019
2001,2.495,130.309
2018,13.499,80.231
2016,15.895,112.125
2013,11.995,102.228
2015,11.999,92
2018,12.995,67.018
2012,8.995,0
2016,13.5,101
2018,16.909,78.26
2017,17.99,11.512
2017,21.995,98.033
2017,20.995,54.607
2018,12.995,65.318
2016,11.99,67.746
2013,13.595,92.042
2016,9.997,125.242
2019,9.888,137.09
2019,15.497,66.679
2011,10,56.371
2018,13.3,99.21
2016,9.995,96.701
2017,25.295,54.373
2017,18.197,107.672
2018,22.995,75.404
2009,2.75,168.076
2018,14.998,77.452
2008,5.699,104.73
2015,13.975,59.479
2009,2.995,211.323
2019,25.999,67.789
2018,13.995,92.305
2019,17.995,54.246
2013,11.111,104.067
2017,16.888,74.185
2014,12.572,84.708
2018,9.995,82.342
2013,7.899,97.039
2016,10.999,75.99
2014,8.85,109.841
2004,2.995,103.097
2013,7.799,91.81
2011,16.4,101.993
2017,19.5,122
2017,13.995,149.732
2008,7.995,42.75
2017,13.995,129.682
2016,10.499,112.705
2017,12.8,63.394
2015,12.998,67.235
1995,4.5,115
2017,19.6,27.41
2018,17.9,81.417
2013,8.799,84.977
2017,14.501,86.777
2018,11.999,111.937
