year,price,mileage
2012,18.995,321.67
2019,49.95,9.351
2018,27.499,96.819
2017,43.5,66.379
2023,49.9,37.447
2016,24.995,81.675
2018,24.9,161.571
2017,31.499,77.925
2015,29.95,27.482
2020,38.899,96.942
1996,44.9,128.708
2022,46.742,25.787
2017,40.995,97.527
2003,12.9,225
2015,18.45,126.506
2022,63.995,36.505
2022,50.8,16.955
2021,45.888,61.074
2022,73.908,27.783
1997,49.5,136.721
2023,58.495,15.037
2015,48.5,32
2023,73.5,5.24
2022,62.9,29.337
2019,59.9,43.171
2019,52.9,100.28
2011,20.495,121.35
2022,47.762,51.076
2016,24.5,153.857
2019,67.69,45.005
2019,60.888,22.447
2015,23.95,106.828
1997,52.5,106.796
2015,24.999,110.165
1997,44.9,136.087
2020,55.5,76.879
2016,39.95,29.738
2022,46.988,15.952
2012,26.5,98.101
2021,67.5,50.86
2017,29,94.68
2022,47.5,36.375
2022,43.937,56.75
2015,19.9,167.112
2022,56.888,72.702
2014,31,83.023
2022,51.5,43.03
2022,48.44,46.295
2012,10.5,175
2021,57.998,14.551
2013,24.442,2.276
2022,48.588,44.275
2020,49.9,44.595
2017,34.062,6.889
2022,80.499,5.867
2008,16,155
2010,11.995,194.429
2021,45.165,66.172
2021,44.986,58.237
2016,49.495,54.758
2021,68.991,10.949
1997,38,86.048
2019,40.99,44.144
2018,57.175,82.831
2022,48.9,48.703
2012,30,163
2008,11.995,201.685
2015,25.75,85.402
2018,42.499,63.109
2019,39.595,138.139
2012,42.9,98
2016,29.5,188.068
2022,44.5,35.882
2019,35.245,67.758
2015,36.995,84.591
2020,47.975,25.957
2023,73.987,24.895
2022,51,18.944
2022,53.9,31.275
2019,58.68,82.012
2022,50.95,41.2
2006,12.999,141.906
2003,5,115
2020,44.73,5.615
2022,63.998,33.192
2017,50.843,74.018
2019,42.661,13.2
2021,54.99,38.526
2022,60,27.542
2020,61.99,60.899
2018,42,72
2015,43.995,55.973
1996,46.5,111.939
1995,44.5,126.909
2019,57.9,14.05
2021,46.9,55.98
2015,39.995,84.76
2019,52.498,77.79
2019,39.87,27.107
2019,39.444,138.226
2021,39.895,102.639
2017,23.9,142.502
2019,21.847,131.833
2004,9.9,225
2019,41,110.159
2016,31.9,104.287
2016,25.99,92.521
2023,87.5,7.934
2022,46.981,42.361
2021,45.9,54.808
2007,10.5,122.517
2015,22.987,70.049
2023,93.595,15.19
2022,47.995,42.327
2022,56.492,15.853
2020,68.995,17.445
2014,25.35,57.961
2011,10.5,235
2022,42.981,44.375
2008,19.5,85.202
2018,32.409,115.085
2018,35.488,79.782
2021,45.923,49.389
1997,59.5,138.666
2022,47.499,58.193
2017,16.38,198.008
2022,54.995,44.105
2010,11.99,220.443
2019,46.995,90.815
2010,19.999,103.892
2015,27,171.62
2018,36.392,56.925
2001,9,85
2019,40.74,33.6
2013,30.995,89.493
2023,90.5,11.194
2002,6.995,195.866
2022,47.535,35.742
1997,54.5,93.521
2019,57.028,54.43
2015,20.444,91.878
2018,50,105.392
2015,21.9,114.462
2006,11.99,131.8
2019,47.995,64.134
2005,10.498,188
2022,76.5,18.205
2022,49.495,41.003
2010,12.995,85.384
2020,56.994,71.239
2021,36.995,64.146
2022,38.999,37.332
2016,36.988,57.238
2018,40.991,90.305
2019,45.995,60.729
2016,22.995,90.134
2022,64.435,25.466
2022,47.09,52.075
2021,40.885,72.234
2004,10.9,280
2023,49.777,12.143
2009,12.495,133.5
2016,37.996,42.664
2023,59.623,12.033
