year,price,mileage
2014,7.2,176.182
2018,11.427,40.788
2007,2.995,130.342
2013,7.95,142.756
2016,5.995,150.488
2014,8.222,79.529
2013,6.899,119.277
2018,11.888,95.225
2014,8.991,96.859
2018,18.68,53.713
2015,7.99,185.106
2014,10,46.414
2012,6.999,88.005
2013,6.552,121.58
2017,10.998,67.36
2015,7.792,100
2018,7.495,127.234
2013,4.458,201.404
2011,7.995,78.201
2003,4.997,95.788
2014,15.678,87.449
2011,5.95,146.174
2005,4.952,109.934
2013,8.9,122.812
2000,5.998,97.987
2014,8.931,61.435
2016,8.995,100.727
2018,14.985,89.472
2012,5.995,102
2004,3,163.538
2018,9.785,83.19
2017,16.998,48.807
2018,12.922,48.763
2010,6.4,85.081
2013,16.5,50.883
2014,6.875,94.996
2016,8.997,73.208
2018,12.9,75.777
2012,7.2,164.219
2015,7.749,107.453
2010,6.895,83.751
2005,6.7,55.493
2014,9.219,50.135
2015,8.999,94.602
2012,4.8,130
2018,21.99,51.94
2007,7.995,62
2017,12.495,70.781
2013,7.99,68.911
2015,6.542,104.036
2011,4.995,107.76
2017,12.995,74.039
2014,7.999,96.111
2013,8.695,75.976
2017,11.9,60.14
2017,17.997,79.584
2012,3.495,125.593
2009,1.795,244.174
2009,6.999,89.241
2014,19,53
2017,13.995,116.225
2013,7.998,62.001
2003,4.995,86.111
2011,6.49,98.046
2014,5.999,156.348
2016,11.6,50.588
2017,16.989,84.738
2017,12.59,46.976
2016,13.495,108.09
2004,3.998,170.892
2013,7.9,150.877
2012,6.699,83.935
2013,3.499,65
2018,8.9,85.825
2015,8.498,99.737
2012,5.988,134.653
2018,8.9,59.344
2017,10.5,56.893
2018,8.995,124.956
2012,6.4,148.533
2016,8.9,62
2012,5.495,140.63
2012,8.295,137.659
2012,5.49,158.137
2018,10.495,26.706
2013,8.495,56.445
2017,11.8,72.904
2009,8.995,28.5
2012,5.495,180
2018,12.995,82.964
2015,6.995,102
2014,7.395,77.149
2010,5.195,108.08
2017,10.995,48.098
2009,6.499,120.198
2012,7.99,91.565
2014,8.495,96.111
2017,26.687,69.771
2018,10.9,62.301
2007,7.995,82.756
2016,13.421,22.051
2015,7.5,85.504
2014,5.995,112.455
2017,11.999,50.369
2018,11.999,86.916
2016,12.995,43.346
2015,7.999,72.782
2014,12,97.477
2017,12.687,33.4
2014,9.311,39.642
2011,6.75,57.343
2008,7.495,65.91
2014,8.789,43.409
2014,6.995,119.857
2016,12.296,25.162
2018,8.995,84.796
2017,12.998,45.741
2013,5.995,92.007
2010,7,77.461
2015,9.995,29.638
2014,11.997,47.657
2016,28.22,64.49
2014,9.2,82.876
2015,11,31.023
2013,8.495,86.967
2016,13.9,19.68
2016,10.9,45.825
2016,6.495,112
2015,9.999,55.83
2014,7.99,81.06
2003,5.999,44.651
2011,6.495,147.385
2006,5.999,128.309
2010,6.752,77.396
2010,5.995,72.941
2005,6,150
2010,4.995,108.171
2017,11.995,50.645
2016,9.444,83.432
2017,13.9,35.26
2007,7.785,80.778
2014,6.5,129
2009,2.5,176.646
2015,10.49,26.095
2014,5.495,145.634
2017,10.498,75.25
2017,13.95,15.695
2016,7.69,111.534
2014,9.95,82.358
2013,13,79.5
2007,6.995,60.835
