year,price,mileage
2020,24.9,40.812
2020,26.954,78.666
2018,20.999,71.786
2021,25.497,25.616
2017,21.995,17.716
2019,19.788,47.3
2014,13.949,56.596
2020,20.95,90.14
2022,29.99,13.336
2020,21.495,35.157
2020,20.85,30.296
2019,26.9,53.506
2020,24.99,34.169
2022,23.9,42.995
2023,36.777,13.102
2016,11.919,113.216
2019,17.577,78.741
2020,23.933,49.524
2015,14.995,70.118
2013,13.995,87.907
2020,24.995,31.483
2020,22.526,43.879
2020,24.993,30.078
2015,11.985,98.278
2019,20.74,46.296
2022,28.494,8.329
2013,15,75
2021,31.5,41.719
2015,12.995,94.29
2020,18.677,51.694
2019,22.44,46.831
2024,38.9,0.942
2020,24.65,20.041
2019,17.532,76.533
2021,29.999,14.234
2020,24.097,24.664
2018,19.99,49.463
2020,27.85,33.112
2020,19.95,56.601
2018,18.998,55.116
2020,21.499,60.673
2018,17.991,76.731
2020,23.497,24.536
2022,26.288,24.359
2017,19.95,14.046
2020,23.2,29.828
2021,23.5,65.813
2015,15.921,70.178
2020,24.99,42.95
2022,27.991,25.774
2022,33.365,10.996
2020,19.49,55.247
2020,24.99,31.811
2020,21.994,44.866
2019,18.444,84.154
2019,26.95,17.429
2024,38.795,4.448
2013,11.499,88.269
2024,49.988,9.08
2021,26.497,26.656
2014,11.883,95.342
2015,10.997,91.87
2020,22.95,35.019
2018,18.587,86.426
2022,25.9,44.997
2022,26.601,7.959
2022,25.69,36.62
2012,13.849,56.745
2022,28.847,19.498
2023,40.988,5.023
2019,21.99,70.504
2018,20.988,49.878
2021,29.705,18.27
2020,19.85,44.221
2021,26.98,26.531
2019,21.495,46.833
2021,27.79,20.665
2020,23.49,36.533
2021,23.795,53.525
2020,27.977,14.952
2020,17.994,81.961
2017,18.487,66.223
2017,17.75,74.991
2019,25.99,49.357
2019,20.99,55.636
2016,17.5,42.354
2023,32.921,6.979
2013,7.995,133.043
2018,19.95,58.721
2018,16.99,110.054
2012,10.498,87.822
2013,10.57,102.944
2024,40.08,2.451
2017,18.603,50.957
2022,27.5,14.941
2020,25.997,32.957
2022,29.997,54.631
2020,27.9,43.267
2021,26.295,49.719
2019,26.947,28.528
2020,20.987,55.169
2023,30.5,6.089
2017,18.99,48.813
2022,23.95,28.89
2022,24.14,41.342
2017,17.987,55.52
2022,27.9,22.67
2019,23.995,28.338
2022,25.733,56.633
2017,12.791,114.966
2019,24.8,38.624
2022,28.495,10.879
2021,27.8,29.345
2022,33.99,14.114
2020,24,28.853
2017,14.75,99.078
2020,24.455,57.773
2018,15.994,70.244
2020,19,84.15
2019,18.995,57.383
2020,20.99,22.732
2020,28.672,30.639
2022,21.499,52.016
2019,18.98,76.735
2020,23.49,34.723
2020,21.497,58.62
2021,29.652,11.693
2021,23.95,44.365
2022,25.4,30.613
2014,11.998,99.025
2022,26.997,16.227
2015,12.127,129.496
2021,25.599,33.169
2017,13.49,128.663
2020,23.995,43.206
2021,24.8,40.15
2018,23.599,30.365
2012,10.49,112.21
2019,21.853,59.782
2019,21.929,54.863
2023,30.997,3.56
2023,36.488,3.744
2020,22.95,49.221
2016,13.698,66.576
2022,27.99,42.248
2018,20.785,71.994
2018,17.149,93.064
2021,34.249,24.418
2022,24.4,39.806
2019,19.5,59.351
2020,31.99,34.362
2015,9.997,128.475
2020,19.99,24.643
2021,20,73.842
2017,17.98,47.972
2020,27.998,13.044
2023,32.255,2.5
2020,18.995,101.357
2018,19.69,41.725
2022,26.069,58.548
2016,17,45.714
2016,19.498,77.499
2022,24.75,51.487
2020,24.9,41.452
2017,13.9,118.744
2019,17,61.494
2022,28.9,12.226
