year,price,mileage
2022,25.547,17.005
2020,21.491,34.251
2017,11.999,99.988
2019,19.382,41.013
2022,21.4,31.901
2017,20.9,58.133
2020,19.992,15.716
2020,19.2,19.35
2022,23.49,2.446
2022,24.995,19.479
2020,20.5,13.2
2021,24.99,15.043
2020,20.7,58.554
2020,23.853,16.611
2020,16.989,60.787
2020,24.991,16.354
2019,15.499,60.126
2022,21.877,15.665
2021,21.889,15.082
2021,26.59,28.428
2022,21.253,25.379
2023,27.777,25.46
2021,22.495,20.952
2017,9.25,113.439
2023,27.588,20.826
2020,24.697,5.316
2020,19.3,38.386
2022,24.333,8.581
2020,23.9,5.068
2021,23.9,40.89
2022,26.491,20.583
2019,17.294,56.585
2019,15,67.352
2016,13.991,71.777
2022,24.497,31.745
2017,14.894,52.366
2021,25.4,28.139
2018,19.999,40.71
2021,20.995,25.984
2021,18.755,44.627
2022,21.997,16.495
2022,25.8,24.566
2021,21,27.84
2023,25.797,17.764
2023,38.491,5.881
2022,24.28,27.841
2019,16.885,47.705
2021,26.933,19.954
2018,16.49,53.19
2023,24.5,18.486
2021,23.477,12.168
2022,21.8,19.828
2018,15.989,67.617
2020,19.5,33.756
2022,21.939,21.226
2022,29.4,18.433
2018,15.995,37.54
2022,26.795,2.002
2020,20.995,29.532
2021,21.495,21
2022,26.9,27.422
2020,27.69,13.727
2022,20.988,22.185
2022,26.99,17.576
2022,23.687,27.114
2022,26.761,16.339
2018,16.95,70.626
2020,24.197,30.921
2022,24.251,17.126
2022,27.995,9.687
2017,10.528,132.432
2010,5.001,177.543
2023,32.913,6.163
2023,26.5,3.817
2022,27.999,10.801
2020,24.999,16.784
2015,11.795,62.171
2022,24.049,14.029
2020,21.991,14.86
2020,25,13.5
2020,21.95,22.529
2020,19.8,51.596
2008,5.95,145
2015,10.813,77.811
2023,34.999,2.209
2016,12.98,89.879
2021,21.9,22.762
2019,18.494,44.82
2020,18.2,48.541
2020,16,73.098
2021,24,1.944
2020,17.939,36.105
2017,20.388,8.835
2023,32.75,2.494
2022,23.842,21.192
2020,20.995,29.521
2020,20.9,29.919
2018,15.49,80.889
2022,25.221,15.749
2021,21.991,22.453
2018,17.795,49.627
2023,35.481,5.548
2021,20.495,35.475
2020,20.773,10.155
2020,20.9,37.907
2020,22.8,12.459
2022,23.866,11.445
2023,26.788,19.815
2022,23.4,20.882
2021,22.9,20.15
2021,21.585,42.007
2020,19.5,34.397
2022,23.029,15.127
2020,19.9,29.846
2022,23.995,20.22
2020,22.497,14.579
2021,22.289,9.715
2020,21.8,30.256
2021,21.058,36.871
2016,8.9,126
2022,23.339,15.235
2013,7.99,111.838
2020,21.997,28.477
2023,39.365,2.643
2020,19.95,32.936
2020,18.99,24.636
2022,22.999,23.425
2020,20.9,35.009
2022,24.613,9.351
2019,18.813,63.762
2020,20.63,26.114
2020,20.9,21.501
2021,18.999,21.175
2022,23.5,13.388
2020,21.017,29.641
2020,22.35,16.995
2020,23,35.367
2023,27,18.467
2020,19.997,15.537
2018,13.868,58.872
2018,17.25,59.344
2022,25.9,22.491
2021,26.194,16.406
2022,26.299,6.019
2022,25.795,16.092
2022,26.919,8.164
2021,19.9,51.88
2022,28.111,8.668
2015,14.995,75.63
2020,19.399,36.826
2018,15.5,72.251
2022,24.95,12.206
2020,22.3,35.376
2019,21.788,26.704
2020,20.75,28.719
2021,19.697,31.169
2021,21.9,20.757
2022,26.995,5.269
2022,22.755,30.1
2023,33.205,2.563
2023,26.69,20.053
2021,21.997,19.595
2018,15.75,44.338
2021,20.9,24.7
2022,24.3,9.409
2020,22.867,21.731
2022,23.994,22.216
2022,27.928,13.634
2023,27.988,4.748
2020,21.495,26.694
2023,26.988,20.836
2019,20.991,12.682
2017,13.944,65.284
2019,17.411,43.579
2020,21.491,8.438
2021,18.943,33.524
2020,20,36.413
2022,25,6.995
2023,29.95,6.375
2021,23.9,18.434
2023,30.7,2.101
2023,33.533,5.925
2022,23,16.51
2020,22.59,22.32
