year,price,mileage
2021,31.5,31.041
2021,27.995,23.795
2021,28.997,30.316
2021,31.933,16.367
2021,31.5,18.333
2023,49.997,3.085
2020,27.495,41.894
2020,26.672,52.969
2018,27.981,50.842
2020,27.585,40.593
2020,27,53.741
2021,31.495,41.528
2018,29,25.543
2022,32.4,37.849
2021,31.9,37.732
2018,19.987,69.48
2021,39.5,38.883
2021,30,39.295
2020,29.59,55.486
2021,29,34.617
2020,34.997,34.98
2021,29.665,40.523
2021,32.99,21.01
2021,30.895,21.263
2018,19.995,76.592
2020,33.328,21.845
2022,35.997,30.054
2021,29.497,37.914
2021,43.985,21.783
2017,20.488,85.67
2022,31.5,38.594
2021,31.99,17.284
2021,30.299,15.446
2021,35.59,47.918
2020,30.425,32.052
2020,28.31,37.275
2021,33.595,33.702
2019,24.646,66.587
2021,33.983,11.406
2021,36.779,33.872
2022,35,15.875
2021,42.069,28.686
2006,2,185.327
2021,28.997,30.486
2021,33.491,30.922
2016,20.998,99.779
2019,25.5,46.903
2021,31.491,20.723
2020,29.903,18.745
2022,35.85,24.583
2020,27.5,49.356
2019,24.9,72.367
2020,30.916,43.815
2021,31.83,28.909
2022,35.599,25.165
2021,32.3,44.87
2022,30.5,18.568
2017,22.876,81.293
2020,30,39.834
2019,21,94.936
2019,23.695,54
2019,23.888,46.106
2022,42,20.556
2022,33.13,46.941
2021,30.345,40.391
2020,36.9,52.964
2022,34.915,17.178
2020,33.898,40.365
2021,32.99,18.688
2021,30.99,29.622
2023,40.998,0.003
2021,30.495,31.426
2016,18.5,68.188
2022,33.495,23.43
2022,32.8,38.845
2021,30.5,35.14
2021,32.99,13.458
2022,34,17.57
2020,28.197,36.868
2021,32.539,24.861
2023,39.42,12.075
2021,30.2,39.234
2020,30.277,23.636
2021,37.495,34.266
2020,36.128,26.963
2021,29.497,33.731
2021,31,38.325
2013,9.991,184.881
2020,33.461,53.09
2021,28.99,41.281
2015,15.437,95.508
2021,29.8,39.37
2021,30.995,32.181
2019,15.99,149.424
2022,39,28.416
2020,25,43.243
2023,38.668,3.153
2021,33.395,12.503
2021,28.788,61.584
2022,45.907,18.733
2021,27.95,54.328
2020,28.394,23.306
2022,28,48.475
2021,26.796,41.03
2021,29.4,42.219
2023,52.991,1.465
2021,30.971,41.548
2022,36.9,23.951
2021,33.813,30.984
2014,11.824,121.601
2022,29.8,40.704
2017,23,58.416
2020,26.991,41.982
2023,48.5,11.127
2021,28.811,40.288
2021,31.031,43.152
2021,41.8,34.312
2021,29.497,17.827
2021,30.766,36.035
2017,17.895,94.533
2022,34.998,7.715
2021,32.5,36.101
2016,14.299,104.992
2021,32.9,17.478
2020,27.347,41.538
2018,23.498,40.508
2020,29.946,29.279
2021,43.5,19.166
2023,35.746,11.563
2021,29.995,38.54
2021,29.9,70.049
2021,27.997,30.516
2021,31.295,17.482
2023,36.123,2.301
2021,30.658,30.276
2018,24.995,63.523
2020,29.933,17.743
2020,29.38,47.91
2019,20.521,62.445
2015,11,129.896
2021,39.366,30.625
2021,37.099,38.604
2021,35.7,44.792
2022,32.999,27.395
2020,28.872,27.843
2020,36.147,39.959
2020,29.646,65.138
2021,30.5,27.857
2022,31.973,12.231
2017,19.2,73.042
2015,17.499,66.02
2018,22.995,58.14
2023,43.457,0.041
2021,31.199,14.356
2017,16.997,60.854
2021,28.997,21.616
2021,31.899,28.252
2022,35.5,18.787
2021,30.79,41.857
2021,38.9,39.464
2020,26.95,52.718
2004,5,59
2023,36.5,9.21
2020,36.997,33.5
2016,17.584,99.881
2021,31.4,40.081
2018,19.549,87.25
2021,30.95,32.761
2018,24.295,50.665
2021,30,40.45
2018,21.995,56.391
2023,50.997,3.477
2021,29.997,28.166
2021,31.99,20.876
2020,29.9,29.593
2014,17.99,49.489
2020,27.497,33.888
2017,18.695,86.207
2018,21.595,59.424
2020,29,47.523
2019,26.995,22.102
2020,29.063,27.963
2022,40.924,15.75
2021,31.842,26.372
2021,31.863,24.682
2023,34.733,27.846
2015,14.477,76.997
2021,36.941,10.35
2019,28.49,49.545
2021,29,47.554
2017,20.995,20.81
2021,39.995,22.196
2017,19.819,50.223
2023,33.997,17.577
2021,29.012,35.868
2021,35,22.431
2016,15.493,90.655
2021,29.95,32.005
2020,27,49.033
2021,28.337,61.54
2021,31.976,21.775
2021,31.4,38.526
2016,18.677,77.148
2021,26.991,52.547
2021,28.9,48.765
2018,22.297,63.926
2021,33.9,20.111
2021,31.95,17.067
2022,32.8,11.643
2018,20.795,67.955
2020,36.418,23.734
2021,29.495,41.372
2019,29.799,23.722
2018,27.803,56.183
2020,27.442,40.541
2020,39.99,15.904
2021,30.488,32.794
2021,28.797,26.843
2020,32.899,23.422
2021,30.99,28.624
2022,35,11.601
2022,39.99,19.983
2022,45.942,19.693
2020,26,56.719
2023,39,8.515
2019,29.75,22.058
2014,12.395,110.328
2020,36.888,29.576
2020,29.5,33.003
2020,29,47.372
2021,29.9,35.707
2022,27.973,14.002
2022,29.994,30.661
2021,30.488,32.271
2020,27.493,31.482
2017,17.497,89.399
2023,38.995,11.754
2015,13.99,136.52
2023,36.58,9.243
2021,30.9,41.87
2021,30.953,22.538
2020,28.977,47.822
2021,29.497,45.165
2020,29.997,19.733
2021,41.5,21.871
2023,35.49,22.873
2021,30.467,31.281
2021,31.995,25.333
2020,28.5,28.649
2020,27.95,41.837
2020,26.988,59.074
2021,36.491,19.702
2021,31.995,19.279
2022,29.997,41.448
2021,36.5,24.405
2021,28.95,36.948
2021,36.997,45.183
2021,32.9,30.784
2021,35.386,25.688
2022,32.5,64.043
2020,30.351,24.759
2023,36.5,11.951
2019,30.973,34.996
2017,16.993,96.862
2018,19.977,82.618
2020,27.184,28.656
2015,13.491,115.193
2016,15.443,100.871
2021,30.291,40.781
2016,18.69,98.082
2021,27.995,38.953
2020,30.739,34.245
2020,29.995,30.072
2022,30.745,17.589
2021,29.69,40.49
2021,33.99,40.329
2021,28.999,44.968
2022,31.995,29.348
2021,30.678,41.723
2021,45.952,18.721
2020,26.955,48.832
2022,41.961,15.488
2021,31.483,38.402
2020,39.49,17.993
2020,29.481,49.028
2021,29.999,23.198
2022,37.497,13.116
2019,25.895,42.997
2017,20.488,71.509
2007,3.999,165
2022,34.642,22.95
2023,40.432,7.488
2021,33.795,15.606
2020,29.3,38.617
2021,30,34.223
2019,22.788,68.694
2020,31,17.465
2018,23.999,36.454
2023,47.995,7.7
2021,32.165,14.951
