year,price,mileage
2015,19.99,151.728
2023,73.5,5.24
1996,49.5,97.313
1997,49.5,136.721
2021,61.985,45.619
1997,45.9,132.83
2022,46.742,25.787
2023,49.777,12.143
2010,19.999,103.892
2023,114.89,0.749
2000,33.9,115.744
2023,62.5,42.835
1997,44.9,136.087
2019,24.771,140.915
2016,34.795,46.521
2022,47.888,47.722
2018,52.795,67.39
2023,114.46,0.713
2020,55.9,94.27
2022,77.5,21.865
2015,38.95,26.547
2024,120.98,0.752
2022,43.937,56.75
2008,12.99,176.517
2019,37.98,107.949
2015,16.9,178.225
2022,65,59.37
2017,55.9,69.077
2017,44.995,126.816
2023,114.955,0.075
2012,13.999,173.085
2013,21.999,168.714
2023,53,8.26
2015,43.995,55.973
2021,53.197,23.335
2022,54,41.968
2020,62,36.233
2019,49.95,9.351
2015,23.995,99.241
2022,50.95,41.2
2019,34.9,30.916
2021,46.9,55.98
2015,35.95,57.054
2017,54.1,36.271
2017,29.997,70.849
2019,28.995,93.523
2022,62.5,59.49
2019,54.9,43
2008,19.868,149.769
2019,40.99,44.144
2021,67.8,34.531
2022,73.908,27.783
2015,34.595,77.424
2004,21.5,84.612
2019,36.5,27.797
2016,31.9,104.287
2014,26.995,24.462
2002,7.897,204.88
2022,71,7.901
2020,44.5,19.738
2003,12.98,177.354
2019,39.87,27.107
1995,44.5,126.909
2006,13.999,93.772
2022,42.528,41.525
2022,62.9,29.337
2019,42.661,13.2
2021,53.985,40.174
2022,53.77,37.032
2023,77.099,3.516
2022,70.463,41.393
2021,57.998,14.551
2022,41,38.471
2021,44.987,44.249
2017,36.995,109.992
2019,58.598,73.797
2022,47.995,42.327
1997,38,86.048
2019,31.997,77.255
2021,36.995,64.146
2008,9.995,185.197
2021,39.974,10.815
2012,26.995,177.725
2019,57.9,14.05
2022,48.9,48.703
2021,67.9,37.407
2018,40.99,21.882
1997,59.5,138.666
2022,47.999,58.61
2023,61,6.83
2021,43.999,73.413
2018,42.499,63.109
2022,68.5,52.823
2022,67.5,65.73
2021,39.595,75.257
2020,42.995,175.92
2023,73.987,24.895
2021,50.49,22.615
2012,30.988,36.223
2017,54.212,76.235
2023,87.5,7.934
2017,45.988,117.394
2015,22.871,131.274
2016,39.95,29.738
2022,76.5,18.205
2021,75.9,10.203
2022,59.851,70.21
2016,30,69.495
2018,32.409,115.085
2015,37.495,87.499
2023,121.95,0.366
2017,33.995,143.371
2020,69.9,31.764
2020,54.5,77.125
