year,price,mileage
2016,9.499,50.516
2016,10.5,69.729
2013,10.9,59.241
2017,8.498,112.283
2019,12.755,60.069
2019,13.975,15.594
2018,15,79.653
2015,8.895,91.735
2019,14.495,111.311
2017,10.761,64.918
2017,12.988,22.476
2019,16.255,1.658
2013,7.899,45.524
2017,10.99,25.748
2016,8.4,117.8
2014,7.777,94.283
2012,6.555,115
2018,10.995,28.482
2019,12.175,58.52
2011,4.952,147.067
2019,10.798,69.037
2012,8.6,72.427
2019,9.99,98.083
2017,11.699,66.406
2019,17.495,72.964
2019,12.977,62.999
2018,9.695,124.51
2018,11,47.176
2014,6.395,158.749
2019,12.995,60.053
2012,4.999,112.639
2018,10.987,72.812
2013,6.799,97.186
2018,11.5,74.865
2019,11.192,85.376
2011,4.999,107.491
2013,6.266,77.947
2019,13.85,40.708
2015,12.495,9.98
2018,11.599,35.3
2012,7.495,126.613
2011,3.999,171.8
2016,10.55,64.067
2019,10.995,38.345
2013,5.558,106.412
2019,9.9,31.734
