year,price,mileage
2014,10.423,120.038
2011,6.49,98.046
2013,7.95,142.756
2010,5.995,72.941
2010,6.4,85.081
2017,12.995,125
2011,6.495,147.385
2016,12.899,35.624
2011,7.99,54.748
2009,8.995,28.5
2014,12.898,41.62
2014,10.08,42.075
2012,7.2,164.219
2014,8.995,114
2014,6.999,108
2016,11.6,50.588
2011,5.95,146.174
2016,12.531,22.104
2007,4.5,122.535
2017,16.998,48.807
2017,12.395,87.435
2016,13.9,19.68
2018,12.995,35.901
2012,5.995,102
2015,9.638,103.308
2017,16.989,84.738
2017,26.687,69.771
2004,3.998,170.892
2015,9.999,55.83
2012,6.4,148.533
2017,10.99,80.566
2017,6.499,58.127
2015,9.995,29.638
2013,8,93.251
2013,5.995,92.007
2017,7.9,127.821
2007,3.95,135.677
2013,14,74.585
2013,9.99,97.197
2018,11.888,95.225
2017,32.6,28.075
2017,10.788,81.948
2016,8.9,62
2011,12.5,54.337
2015,8.298,175.096
2012,5.495,180
2016,15.5,17.999
2018,7.495,127.234
2018,21,63.95
2007,7.995,82.756
2003,5.999,44.651
2014,9.219,50.135
2016,8.89,91.987
2017,10.5,83.795
2014,8.9,102.315
2018,12.922,48.763
2016,12.296,25.162
2016,28.22,64.49
2014,9.599,67.018
2017,11.999,50.369
2010,7.99,84.722
2018,24,33.037
2018,10.985,70.782
2017,9.475,86.275
2018,12,53.48
2009,6.499,120.198
2014,18,65
2011,4.995,107.76
2008,9.989,30.348
2017,12.998,45.741
2008,7.495,65.91
2005,6.99,54.328
2014,7.999,96.111
2017,9.395,90.21
2016,9.595,137.831
2007,6.995,60.835
2014,5.995,112.455
2014,4.599,175.792
2006,3.488,195.289
2016,8.995,106.225
2014,9.899,42.666
2017,12.5,67.639
2014,19,53
2016,8.995,100.727
2016,9.444,83.432
2012,6.999,88.005
2006,5.999,128.309
2010,5.195,108.08
2014,9.2,82.876
2015,11,31.023
2014,11.997,47.657
2007,6.99,40.767
2013,6.552,121.58
2013,13,79.5
2015,9.994,61.799
2015,7.5,85.504
2014,9.311,39.642
2017,13.9,35.26
2017,13.625,80
2015,13.399,121.932
2018,9.985,126.33
2017,10.998,67.36
2017,7.99,108.681
2005,6,150
2018,18.68,53.713
2013,11,112.65
2016,10.4,45.292
2014,8,68
2011,6.595,131.029
2007,7.79,98.286
2017,10.498,75.25
2016,7.89,75.863
2007,7.785,80.778
2009,2.5,176.646
2016,7.49,118.138
2017,9.782,87.89
2018,11.999,86.916
2005,6.7,55.493
2013,8.4,148.074
2016,10.975,62.759
2010,6.752,77.396
2016,7.85,56.141
2016,13.421,22.051
2018,21.99,51.94
2017,11.9,60.14
2015,7.749,107.453
2017,7.49,113.459
2018,10.49,93.813
2012,5.988,134.653
2014,7.99,81.06
2014,7.45,81.31
2018,9.994,99.748
2016,12.995,43.346
2014,9.95,82.358
2014,11.9,62.087
2015,9.9,90.819
2012,8.295,137.659
2016,6.495,112
2016,10.9,45.825
2007,7.995,62
2009,5.99,123.916
2017,9.985,53.745
2014,10,46.414
2012,5.495,129.519
2005,4.952,109.934
2018,33.985,46.043
2016,13.495,108.09
2018,8.995,124.956
2014,8.222,79.529
2017,26.5,68.9
2013,7.9,92.871
2013,8.495,86.967
2017,11.8,72.904
2014,8.991,96.859
2017,12.899,40.972
2013,8.9,122.812
2016,8.988,108.906
2017,11.995,50.645
2015,8.999,94.602
2018,9.9,138.469
