year,price,mileage
2020,26.395,22.47
2016,9.655,131.748
2015,9.95,121.181
2018,15.5,114.105
2016,13.2,65.078
2009,5.796,122.713
2013,9.9,108.478
2015,12.518,66.164
2020,20.991,55.954
2019,15.977,57.78
2020,15.9,73.26
2020,20,41.63
2014,16.9,34.196
2007,5.99,94.786
2014,8.965,90.139
2011,6.995,94.61
2017,13.39,80.337
2020,21.676,61.487
2019,15.995,106.992
2015,15.955,54.059
2013,7,168.936
2018,15.9,65.63
2015,8.8,159.492
2012,7,103.145
2019,13.297,89.904
2010,7.499,108.794
2018,18.737,29.261
2019,18.895,61.22
2009,7.995,92.289
2015,11.998,111.555
2018,11.99,149.523
2011,6.78,126.017
2020,20.85,41.833
2011,6.595,106.938
2019,17.375,89.084
2018,13.995,83.577
2017,12.477,73.612
2016,13.295,75.456
2020,20.488,23.451
2019,19.995,23.618
2013,8.497,102.858
2012,7.995,92.998
2019,16.65,77.394
2020,17.998,32.419
2020,18.581,47.723
2010,6.928,133
2020,18.995,41.886
2020,22.998,16.17
2019,14.7,92.012
2008,8.981,115.759
2019,20.988,20.643
2016,15.885,55.576
2017,17.6,51.86
2020,17.95,47.144
2020,19.695,65.522
2017,5.8,160.171
2020,21,23.434
2017,12.856,91.864
2020,18.988,32.715
2014,7.99,131.88
2020,18.99,42.905
2020,17.995,26.383
2019,19.99,48.437
2019,21,54.441
2019,17.801,62.822
2015,16.495,25.385
2017,13.89,61.37
2018,14.295,92.393
2020,20,19.431
2020,17.495,101.636
2019,16.994,61.596
2020,17.985,60.615
2014,14.5,52.914
2017,13.489,78.933
2011,7.999,114.909
2008,6.99,93.612
2019,16.995,40.308
2020,17.85,43.702
2019,16.976,80.04
2017,10.586,95.114
2016,13.999,75.975
2019,14.999,51.935
2020,20.495,29.629
2020,17.395,16.457
2017,13.995,92.756
2013,9.025,118.131
2014,8.449,146.522
2016,12.59,81.724
2020,20.693,8.259
2010,9.54,64.402
2019,18.129,1.541
2018,11.25,110.875
2016,13,54.033
2015,8.741,127.823
2018,11.498,103.038
2009,6,100.9
2017,13.995,82.303
2018,18.747,24.421
2017,16.98,21.623
2013,9.747,87.776
2020,18.695,98.787
2014,10.499,84.241
2016,16.495,31.502
2020,16.479,70.639
2019,18.895,46.101
2018,14.987,88.128
2014,12.495,89.654
2011,6.995,119.397
2019,18.69,52.032
2015,12,69.331
2013,6.499,107.008
2012,9.995,99.986
2012,10.995,59.898
2008,7.99,43.889
2016,9.995,114.949
2018,10.995,85.826
2020,16.974,27.916
2015,14.47,29.193
2020,18.9,78.705
2020,19.988,73.814
2020,22.991,13.683
2019,16.95,52.312
2006,4,209.51
2010,6.9,128.698
2020,18,98.033
2016,9.799,133.815
2020,23.5,23.604
2020,19.3,20.01
2019,15,118.72
2020,16.5,64.13
2018,11.321,93.097
2011,8.995,80.7
2015,10.5,110.701
2019,16.798,39.797
2014,10.999,97.97
2017,15.979,33.961
2014,11.499,102.415
2020,16.788,77.199
2012,12,96.618
2020,17,54.304
2017,13.9,67.788
2013,10.977,45.489
2014,8.965,106.717
2016,17.995,32.522
2018,16.39,55.29
2011,10.995,66.355
2017,15.999,90.993
2020,17.49,57.938
2012,9.5,94.602
2019,13.495,100.994
2010,9.895,51.131
2014,11.995,98.634
2010,7.5,80.247
2017,14.997,33.251
2020,19.995,40.433
2020,20.777,21.169
2020,13.8,102.828
2020,25.98,8.269
2015,9.44,124.952
2010,5.995,113.098
2009,7.995,114.38
2008,6.495,149.432
2014,11.213,118.747
2020,23.98,13.919
2006,7.5,65.168
2014,8.999,189.903
2017,12.5,118.288
2015,9.995,100.79
2019,19.995,53.159
2017,16.86,56.674
2020,20.6,37.763
2018,13.325,97.004
2011,6.499,131.411
2020,20.859,15.03
2015,10.998,102.739
2020,17.295,46.112
2012,9.815,102.839
2020,20.495,53.564
2015,9.944,106.607
2013,14.991,57.842
2014,10.995,95.451
2010,6.577,123.802
2020,15.852,70.003
2010,9.137,94.58
2018,8.942,137.525
2018,10,114.443
2016,16.598,44.266
2016,12.5,83.819
2020,18.8,51.075
2013,8.991,101.166
2017,15.65,100.213
2014,10.265,73.562
2013,9.707,104.309
2018,15.585,60.637
2016,11.9,112.383
2017,12.922,132.552
2019,15.9,83.831
2015,11.858,95.758
2017,13.49,92.556
2015,17.9,46.247
2017,16.595,101.371
2020,17.995,36.37
2017,13.316,83.072
2017,12.495,94.945
2019,14.299,107.008
2017,12.587,107.888
2014,6.477,142.431
2016,12.99,89.619
2020,18.995,61.754
2018,18.727,32.022
2020,16.449,61.629
2020,19.601,25.472
2019,17,72.18
2019,18.55,34.572
2012,10.9,88.403
2020,21.9,19.394
2020,21.995,37.283
2008,4.5,132
2017,16.6,35.787
2020,19.95,47.883
2017,11.2,89.994
2020,16.998,46.24
2017,16.795,97.952
2019,15.988,60.052
2015,10.5,99.254
2020,17.808,63.132
2010,4.995,177.605
2013,11.9,70.383
2018,18.995,60.457
2017,12.5,70.455
2019,19.344,44.034
2015,10.995,88.835
2011,3,101.316
2012,8.9,104.367
2020,18.275,46.728
2020,17.75,54.823
2019,17.894,51.581
2013,8.995,113.974
2020,21,25.305
2019,15,64.826
2014,10.9,86.819
2018,9,142.501
2020,17.017,100.319
2014,13.895,37.722
2016,10.995,111.221
2015,8.9,124.529
2019,16.497,53.783
2020,16.733,64.658
2020,20.981,36.356
2019,11.995,86.534
2019,16.222,60.704
2010,6.595,163.683
2012,7.999,114.043
2019,14.499,45.031
2020,19.49,40.09
2020,18.295,60.419
2020,20.588,16.331
2013,7.59,98
2018,15.311,72.586
2020,18.736,44.353
2019,17,66.595
2016,12,77.5
