year,price,mileage
2020,21.95,61.101
2008,35.9,35.475
2017,29.99,66.312
2022,27.8,1.89
2020,26.295,19.311
2020,32.5,50.469
2021,26.591,29.152
2009,13.995,58.634
2013,29,19.107
2016,29.595,41.437
2021,25.995,27.439
2024,53.998,0.039
2021,22.95,56.393
2020,28,19.517
2013,12.99,118.002
2021,22.49,54.889
2019,45.595,8.844
2019,21.315,48.911
2011,22,45.846
2017,25.95,15.495
2024,51.339,0.043
2024,46.997,0.729
2023,28.988,31.931
2015,15.5,114.688
2020,21.95,65.233
2021,24.35,39.296
2016,18.99,68.55
2015,21.999,106.847
2022,22.5,57.006
2020,42.5,12.676
2021,34.728,42.525
2020,36.988,31.713
2020,20.995,59.506
2003,26,23.787
2020,22.85,53.287
2013,27,17.646
2024,59.825,0.012
2015,16.295,79.636
2022,29.331,21.092
2007,18.995,51.506
2012,10.9,117.5
2023,40.75,5.139
2022,24,8.7
2020,33,20.783
2022,37.917,10.448
2023,41.4,0.883
2021,41.998,6.155
2021,26.5,42.001
2018,24.995,50.131
2015,18.5,54.453
2020,36.95,7.367
2019,30.595,70.565
2021,22.75,56.092
2003,11,83.6
2021,79.9,18.797
2021,24.998,65.206
2020,20.5,63.96
2024,44.9,6.703
2020,20,50.674
2022,34,20.78
2019,32.427,34.135
2015,22.988,62.475
2017,22,55
2021,22.988,54.768
2015,42.499,6.6
2006,15.995,54.116
2019,39.51,10.219
2020,24.5,29.719
2007,14.9,52.112
2023,39.799,13.134
2015,22.9,33.17
2015,16.5,84.181
2018,20.995,32.127
2015,20.993,20.515
2022,42.9,4.992
2015,32.552,39.61
2007,39.999,2.605
2017,63.995,5.958
2022,52.999,3.416
2013,34,17.5
2000,12.95,54.292
1997,11.864,74.872
2003,9.995,30.892
2017,32.319,15.793
2001,6.995,118.014
2017,23.998,14.96
1996,13.99,33.976
2021,22.65,61.097
2016,23.995,7.31
2020,47.556,4.919
2021,27.5,7.304
2017,21.995,59.768
2015,30,47.93
2008,19.5,31.928
2017,24.99,5.964
2023,50.979,1.194
2013,65,1.85
2004,49.9,9.04
2021,32,61.069
2017,26.988,56.903
2024,49.5,1.835
2019,26.495,11.886
2020,21.69,62.053
2016,16.903,84.855
2023,44.795,15.776
2013,24.5,66.925
2023,25.49,12.892
2013,28.993,27.045
2024,43.495,0.388
2019,44.995,14.59
2018,32.3,33.983
2021,22.795,47.369
1989,14.975,61.005
2021,26.99,58.806
2016,18.995,55.898
2021,23.998,57.12
2022,55.804,3.017
1994,16.38,191.26
2001,29.999,2.168
2019,36.9,25.89
2017,16.995,98.706
2019,39.937,38.112
2014,21.999,67.172
2024,58.991,0.043
2023,49.998,6.213
2018,29.995,39.805
2021,22.35,61.832
2024,46.995,4.082
2007,20.995,32.329
2013,25,66.805
2015,39.999,14.848
2016,49.9,8.699
2019,33,39.5
2020,21.49,62.117
2015,30.99,9.837
2024,57.72,0.011
2008,32.5,40.399
2008,49.5,24.536
2015,22,45.15
2017,20,45.2
2008,13.9,99.922
2019,21.584,47.885
2019,36.996,34.371
2005,13.595,29.544
2021,37.995,5.315
2022,39.987,7.66
2021,21.336,53.549
2015,15,97.243
2003,7.172,103.962
2005,44,4.088
2023,42.89,2.416
2017,46.95,39.435
2008,44.9,12.102
2004,6.9,84.703
2017,18.995,64.474
2023,53.5,6.668
2022,25.995,8.398
2015,13.485,107.072
2020,62.998,32.963
2017,19.95,57.138
2022,147.995,1.765
2021,24.995,48.153
2021,32,58.911
2007,37,13.5
2024,53.98,0.78
2004,11.787,35.748
2017,24.353,83.773
2002,15.9,83.339
2013,28.999,9.344
2021,22.25,54.534
2015,30.747,40.369
2013,24.5,8.896
2020,23.9,41.233
2020,27.775,29.822
2021,22.25,51.571
2021,22.75,56.158
2022,54.99,2.546
2023,43.995,23.877
2009,31,40
2005,25,14.4
2010,18.995,67.2
2005,10.75,67.431
2020,19.995,58.93
2007,27.995,21.887
2019,24.502,15.996
2008,18.9,70.65
2021,33.98,0.423
2003,76.9,1.228
2024,34.98,1.171
2019,99,3.177
2016,50.95,29.704
2014,16.94,31.125
2018,22.795,55.211
2021,36.989,12.3
2021,22.995,55.415
2023,43.899,11.257
2022,38.995,16.507
2021,89.999,2.8
2007,25.98,8.294
2022,42.95,3.604
2021,35,32.046
2011,45.983,7.663
2016,18.923,56.841
2016,15.855,75.475
2013,14.85,64.569
2017,15.995,100.698
2012,60,2.716
2024,39.939,6.33
2022,112.999,0.623
2024,50.998,1.678
2018,21.998,71.539
2002,8.977,139.493
2021,29.995,53.327
2018,35.99,7.383
2019,18.995,53.164
2003,21.998,23.526
2022,37.9,10.231
1995,19.99,0
2017,16.99,94.862
2004,16,46
2016,35.95,18.547
2024,33.5,1.297
2015,37.9,18.138
2019,31.8,45.444
2016,47.877,20.571
2021,20.495,69.846
2014,14.855,76.371
2022,40.994,6.413
2018,17.4,81.381
2005,10.998,127.432
2018,35.495,0
2021,25.988,37.903
2010,15.995,32.915
2020,46.995,12.099
2024,43.7,3.192
2020,42.987,14.565
2016,24,84.247
2024,48.357,5.076
2014,55.995,15.201
2019,28,18.476
2008,39.9,22.215
2023,28.9,1.665
2021,22.588,56.056
2019,29.9,33
2024,37.939,11.132
2022,39.322,35.004
2006,16.762,92.033
2009,33.9,40.512
2020,32.156,34.494
2017,79,4.267
1994,13.99,82.731
2019,37,54.68
2007,50,6.619
2018,36,6.433
2018,19.95,61.488
2011,14.99,115.388
2023,28.996,4.565
2017,28.495,59.258
2017,36.998,9.536
2004,72.5,2.842
2024,32.7,4.108
2015,28.762,46.745
2016,16.975,79.467
2012,25.9,48.447
2018,31,25.226
2020,26.5,32.5
2017,54.5,5.561
2020,20.5,55.14
2022,54.584,3
2013,16.99,103.299
1991,8.519,33.546
2013,24.9,65.798
2019,32.534,30.456
2019,66.895,17.796
2016,21,38.758
2006,24.999,20.58
2021,37.495,8.237
2014,56.9,13.4
2024,48.185,0.017
2018,17.991,99.63
2004,12.995,47.895
2020,20.899,60.205
2015,26.999,46.159
2020,19.793,77.841
2021,27.95,3.412
2008,34.9,8.868
2017,16.5,99.082
2014,27.31,53.918
2010,13.995,113.719
2014,70,3.819
2014,13.992,87.892
2019,34.887,10.116
2020,22.99,37.972
2020,27.995,36.589
2023,30.8,22.786
2006,10.3,105.782
2019,38,22.269
2004,59.9,2.981
2005,15.975,69.432
2008,11.95,83.906
