year,price,mileage
2020,16.695,88.052
2011,12.995,104.652
2012,13.849,56.745
2022,24.9,25.028
2012,12.995,82.972
2024,39.444,0.011
2020,20.95,90.14
2020,24.988,19.172
2023,34.22,4.512
2023,24.495,0.058
2020,27.852,23.622
2017,16.992,81.355
2020,21.388,62.544
2020,24.9,24.31
2020,24.097,24.664
2020,22.997,28.278
2020,24.098,31.299
2019,23.9,59.338
2020,26.2,35.759
2014,14.595,126.862
2024,42.125,0
2020,28.695,12.259
2022,27.703,42.367
2023,38.503,2.734
2019,20.995,72.453
2019,21,55.404
2024,42.995,2.811
2021,27.997,11.316
2017,15.555,71.626
2020,27.85,33.112
2020,26.9,20.669
2020,24.995,31.483
2024,44.68,2.414
2021,25.599,33.169
2021,25.849,62.844
2019,20.39,44.135
2020,23.39,37.888
2021,21.789,64.237
2010,6.995,103.389
2014,13.007,71.162
2021,34.99,11.595
2019,22.499,33.014
2024,43.592,4.816
2020,28.495,14.615
2020,29.7,39.966
2017,13.988,91.998
2024,38.719,2.803
2016,20.3,62.818
2019,25.975,54.909
2020,22.045,26.757
2022,31.9,21.045
2024,41.99,4.335
2020,21.995,45.668
2020,27.995,36.84
2019,19.415,48.203
2024,43.344,3.547
2020,23.244,42.028
2022,24,40.145
2023,33.9,10.482
2022,23.999,53.256
2020,17.488,58.361
2024,37.995,5.159
2020,24.517,36.428
2020,19.99,24.643
2024,42.995,3.786
2022,27.95,5.82
2018,18.995,86.209
2019,19.706,56.341
2022,24.983,49.531
2022,29.99,13.768
2017,18.995,25.586
2024,39.138,7.911
2022,31.9,15.775
2021,23.985,21.313
2018,22.999,43.852
2020,21.877,13.013
2015,15.25,72.5
2017,12.299,110.135
2020,18.999,56.33
2020,23.995,28.337
2013,12.5,88.527
2020,21.271,51.356
2020,21.994,44.866
2022,23.999,59.075
2016,16.995,73.829
2019,26.33,20.596
2019,17.995,60.583
2022,28.72,31.921
2013,5.5,171.637
2022,28.847,19.498
2019,24.405,43.921
2012,8.495,85.1
2020,21.9,6.27
2020,26.785,15.78
2013,11.499,88.269
2020,27.712,37.205
2023,39.689,4.598
2021,23.999,29.385
2021,25.995,16.895
2022,27.9,18.843
2016,9.995,133.623
2022,25.98,45.151
2020,21.995,58.947
2020,28.948,23.587
2018,20.988,49.878
2014,8.972,135.167
2021,27.99,12.905
2018,17.991,76.731
2020,27.846,14.674
2018,18.985,61.124
2024,40.464,3.525
2017,17.504,52.826
2016,12.9,89.841
2020,27.65,30.602
2015,15.549,61.125
2019,24.11,47.916
2022,29.5,5.114
2020,27.9,28.4
2020,18.195,44.853
2023,35.213,13.935
2016,16.997,84.206
2017,17.76,79.622
2020,24.547,20.268
2020,17.998,38.159
2013,11.59,95.467
2020,24.5,38.705
2012,6.812,174.728
2012,10.498,87.822
2020,16.495,90.2
2013,13.95,42.208
2023,38.695,5.685
2023,43.689,4.713
2016,11.984,105.76
2016,10.9,120.369
2020,21.222,70.811
2020,26.495,11.545
2020,23.995,32.569
2020,27.25,19.213
2020,26.864,25.135
2024,46.245,0
2023,29.95,9.306
2019,23.998,36.855
2020,21.995,60.799
2022,22.995,48.919
2020,27.88,26.555
2018,24.977,25.352
2020,25.855,25
2020,24.663,33.32
2023,38.912,2.932
2020,22.995,38.016
2020,26.295,33.847
2017,18.895,55.472
2023,36.488,3.744
2022,37.989,4.114
2021,26.8,5.8
2020,23.9,44.259
2018,14.952,49.31
2017,18.487,66.223
2019,17.845,103.584
2017,10.779,175.688
2022,29.99,29.475
2020,25.8,13.886
2019,18.789,71.717
2020,19.417,72.279
2023,41.99,3.323
2018,21.915,57.355
2023,43.689,2.259
2021,27.49,17.209
2020,27.977,14.952
2020,30.9,28.438
2024,39,3.637
2019,15.495,63.8
2020,27.333,12.82
2020,29.99,43.578
2021,23.795,53.525
2017,15.998,64.681
2020,25.615,14.665
2018,18.995,59.243
2020,19.856,71.321
2023,39.995,1.435
2019,25.055,42.815
2022,26.649,34.368
2019,21.122,36.571
2024,43.09,3.115
2022,27.799,5.301
2010,8.8,133
2020,23.995,43.206
2018,19.995,39.247
2021,26.395,20.55
2015,15.146,81.806
2014,11.883,95.342
2022,23.998,26.352
2019,17.995,78.2
2015,10.995,123.7
2024,44.354,2.675
2014,15.997,44.521
2021,19.759,66.091
2020,28.755,35.648
2015,14.995,35.9
2016,14.724,77.665
2024,39.397,2.074
2023,32.5,6.353
2017,16.297,89.56
2023,35.28,4.643
2020,29.995,6.689
2018,18.495,70.453
2020,28.769,33.761
2023,39.689,5.542
2021,26.687,25.749
2014,13.949,56.596
2020,23.58,11.577
2023,34.995,1.574
2020,25.317,26.645
2020,25.9,33.495
2020,19.295,94.517
2018,19,97.915
2021,21.412,47.446
2021,29.995,12.761
2020,22.995,59.854
2017,17.217,63.787
2020,23.94,36.353
2021,30.385,2.78
2018,17.149,93.064
2019,22.875,43.252
2020,22.439,38.745
2020,20.724,53.528
2020,28.995,24.493
2022,27.998,19.531
2021,25.906,35.455
2023,38.9,38.449
2020,26.995,32.549
2021,26.495,28.4
2016,19.498,77.499
2023,39.689,4.49
2020,23.9,38.456
2019,17.597,68.934
2019,23.495,49.271
2020,21.465,49.113
