year,price,mileage
2017,13.499,51.614
2019,20.499,17.666
2020,21.973,19.866
2008,5.85,111.117
2022,23.029,15.127
2022,26.795,2.002
2021,21.495,21
2020,17.939,36.105
2020,24.897,11.625
2019,17.495,35.317
2013,6,147.074
2019,16.995,37.489
2020,18.161,45.47
2020,21.999,14.471
2021,21.997,24.31
2020,19.795,26.185
2023,27.9,3.681
2019,19.295,24.932
2023,30.995,4.55
2020,18.99,24.636
2020,21.488,48.979
2017,12.461,85.354
2019,18.195,41.783
2020,19.75,20.064
2020,19.495,28.989
2019,21.788,26.704
2022,29.838,14.12
2017,13.5,82.498
2021,20.845,19.357
2020,21.399,24.32
2023,35.938,1.841
2023,26.99,12.992
2020,19.995,17.69
2021,21.66,16.322
2019,14.495,40.918
2020,22.867,21.731
2021,19.697,31.169
2020,23.895,28.353
2021,28.988,18.98
2020,19.2,39.933
2020,19.616,19.817
2020,20.995,29.532
2021,22.285,47.937
2020,20.156,36.478
2020,22.999,18.591
2022,30.732,5.443
2020,23.295,15.5
2021,25.555,10.331
2020,22.35,16.995
2022,20.449,15.758
2022,26.4,12.279
2022,24.488,3.32
2023,28,6.788
2022,23.489,14.97
2022,29.995,2.295
2022,22.895,7.755
2019,17.626,37.038
2022,26.76,19.303
2020,24,14.191
2020,22.497,14.579
2020,19.998,35.101
2018,13.3,52.304
2020,21.495,26.694
2022,21.495,22.041
2020,17.972,32.339
2023,36.365,4.391
2022,28.111,8.668
2018,18.147,46.36
2022,23.895,16.516
2020,20.75,17.319
2023,32.913,6.163
2022,20.494,20.61
2020,19.971,28.798
2023,26.477,8.471
2022,26.897,11.395
2020,20.9,21.501
2020,20.75,28.719
2022,29.839,9.37
2011,3.395,200.031
2020,15.942,31.465
2023,27.588,19.284
2019,12.882,68.276
2015,15.995,15.9
2014,8.495,94.2
2023,39.276,1.548
2020,22.823,13.134
2023,34,2.049
2020,24.799,30.331
2022,22.995,11.1
2012,6.999,150.649
2023,30.631,4.938
2021,26.194,16.406
2022,29,5.284
2020,19.999,20.026
2021,22.26,24.088
2022,26.444,12.375
2020,24.888,39.159
2020,23.741,34.579
2021,24.675,12.118
2020,21.16,21.6
2010,8.99,89.995
2018,13.565,87.36
2022,29.995,5.439
2021,20.245,37.982
2022,23.997,6.855
2020,21.399,16.905
2014,11.997,75.477
2022,21.939,21.226
2020,19.09,32.581
2018,16.995,23.666
2021,21.585,42.007
2020,23.399,16.915
2021,26.408,18.343
2021,28.989,16.79
2020,20.675,20.446
2023,29,2.107
2022,26.56,8.38
2019,15.499,60.529
2021,19.89,30.866
2020,19.499,25.004
2021,24,1.944
2021,21.49,24.443
2021,23.477,12.168
2022,21.695,17.18
2020,23.295,16.229
2020,17.595,23.057
2008,5.95,145
2022,24.348,11.76
2022,22.874,13.485
2020,18.995,22.666
