year,price,mileage
2016,5.995,150.488
2014,6.995,107.09
2017,12.998,45.741
2015,15.895,97.669
2013,6.552,121.58
2013,6.211,130.308
2014,5.995,112.455
2018,12.9,75.777
2014,6.995,112.393
2017,7.995,107.2
2018,11.999,86.916
2013,16.5,50.883
2014,7.999,96.111
2015,7.99,185.106
2016,11.6,50.588
2011,6.75,57.343
2010,5.195,108.08
2018,8.9,59.344
2015,7.999,72.782
2014,5.495,145.634
2017,12.995,74.039
2014,8.931,61.435
2015,7.5,85.504
2014,11.997,47.657
2007,6.995,60.835
2016,9.444,83.432
2014,12,97.477
2016,28.22,64.49
2013,8.495,56.445
2013,8.695,75.976
2014,6.875,94.996
2018,7.995,103.3
2018,11.888,95.225
2015,7.792,100
2014,8.789,43.409
2016,13.495,108.09
2014,8.495,96.111
2014,5.999,156.348
2014,8.991,96.859
2015,9.995,29.638
2018,7.495,127.234
2013,7.998,62.001
2015,9.999,55.83
2015,7.749,107.453
2003,4.995,86.111
2016,12.898,42.266
2016,24.995,99.334
2017,13.95,15.695
2017,23.995,81.7
2012,5.995,83.789
2003,5.999,44.651
2009,8.995,28.5
2010,5.995,72.941
2014,8.222,79.529
2015,10.49,26.095
2014,15.678,87.449
2013,11,120
2015,8.498,99.737
2018,11.427,40.788
2015,8.999,94.602
2010,6.752,77.396
2014,19,53
2008,7.495,65.91
2017,10.995,48.098
2017,12.59,46.976
2013,8.9,122.812
2015,11,31.023
2014,7.395,77.149
2017,11.999,50.369
2006,5.999,128.309
2009,1.795,244.174
2013,7.99,68.911
2014,6.5,129
2013,3.499,65
2018,14.985,89.472
2017,13.995,116.225
2005,4.952,109.934
2003,4.997,95.788
2016,13.421,22.051
2012,5.495,140.63
2004,3,163.538
2018,8.9,85.825
2010,7,77.461
2016,8.997,73.208
2016,7.69,111.534
2013,6.899,119.277
2017,9.995,59.5
2017,12.687,33.4
2016,8.995,87.123
2004,3.998,170.892
2012,5.49,158.137
2009,6.999,89.241
2018,8.995,84.796
2007,2.995,130.342
2017,10.5,56.893
2018,12.995,82.964
2018,9.785,83.19
2012,6.699,83.935
2018,9.495,84.9
2018,21.99,51.94
2014,7.2,176.182
2000,5.998,97.987
2013,4.458,201.404
2013,7.5,103.078
2017,12.495,70.781
2017,11.995,50.645
2018,17.999,80.174
2009,6.499,120.198
2011,7.995,78.201
2015,6.995,102
2014,7.995,61.6
2015,6.542,104.036
2007,7.995,62
2012,7.99,91.565
2012,3.495,125.593
2012,5.988,134.653
2013,7.9,150.877
2013,5.995,92.007
2014,6.995,119.857
2014,9.311,39.642
2010,6.895,83.751
2012,4.8,130
2018,8.995,124.956
2018,10.495,26.706
2013,13,79.5
2014,9.95,82.358
