year,price,mileage
2020,20.988,6.729
2020,14.995,93.781
2020,18.995,38.533
2018,16.124,42.483
2014,8.999,83
2017,15.895,78.709
2018,14.988,77.244
2020,15.998,57.284
2018,20.995,34
2016,13.295,75.456
2020,19.995,25.227
2014,11.784,92.008
2014,10.995,99.648
2014,10.795,70.097
2017,13.33,75.988
2019,14.499,45.031
2020,20.693,8.259
2009,7.995,114.38
2018,17.465,54.325
2013,12.491,68.252
2013,9.707,104.309
2017,6.995,189.652
2017,15.65,100.213
2020,16.479,70.639
2017,7.999,123.41
2012,7.9,90.129
2020,16.417,57.235
2020,21.995,26.953
2012,9.815,102.839
2020,13.999,96.216
2019,12.999,102.226
2012,9.5,94.602
2020,21.75,14.142
2013,8.995,113.974
2014,10.999,97.97
2017,9.995,83.8
2011,6.988,104.875
2020,9.999,110.664
2019,14.947,100.766
2017,12.995,116.118
2018,9.1,148.905
2017,14.989,100.925
2012,6.977,170.8
2020,23.25,23.85
2018,18.499,58.552
2020,21.995,30.721
2018,13.797,57.456
2020,18.594,27.463
2019,14.999,51.935
2019,19.995,42.647
2013,8.495,120.698
2014,10.995,95.451
2020,17.747,17.102
2018,14.495,82.907
2012,9.255,59.508
2016,9.995,61.325
2015,15.995,38.256
2009,5.796,122.713
2020,16.733,64.658
2020,19.4,36.985
2015,11.998,111.555
2017,9.975,117.485
2018,19.689,40.932
2011,7.99,102.591
2019,23.485,8.354
2020,24.985,26.64
2019,20.477,51.587
2017,13.995,74.984
2019,13.995,63.1
2019,16.999,80.722
2020,14.99,91.929
2020,19.999,16.802
2019,15.699,37.455
2019,14.995,97.533
2020,20.985,25.161
2020,13.895,82.672
2014,10.49,68.257
2020,16.2,55.07
2006,7.5,65.168
2017,14.29,54.315
2016,11.995,85.46
2020,18.888,6.129
2013,6.9,88.843
2015,8.995,122.378
2020,19.995,33.286
2019,18.895,46.101
2020,21.9,71.067
2019,15.265,61.003
2016,10.5,110.45
2010,5.999,161.557
2017,13.9,67.788
2010,6.9,128.698
2014,10.8,97.643
2019,17,41.505
2016,10.588,92.275
2020,18.488,47.068
2020,16.396,59.378
2020,21.863,6.531
2020,18.695,98.787
2020,22.995,9.487
2010,6.899,119.695
2016,13.995,41.242
2016,7.495,133.999
2020,13.99,76.238
2020,20.495,22.937
2015,9.95,121.181
2015,10.998,102.739
2019,18.129,1.541
2014,11.99,100.005
2020,16.49,75.939
2020,22.991,13.683
2015,10.995,88.835
2020,17.895,56.653
2018,19.985,36.477
2016,13.995,91.605
2013,7.99,71.922
2014,10.265,73.562
2017,11.857,75.53
2009,6.995,65.609
2020,14.65,72.774
2020,21.995,37.283
2019,23.745,9.021
2011,6.5,92.253
2019,15.977,57.78
2014,8.999,189.903
2018,12.995,124.911
2016,11.199,72.348
2008,8.981,115.759
2019,19.344,44.034
2012,7.999,114.043
2017,16.695,43.191
2017,15.979,33.961
2017,14.995,51.635
2015,12.999,95.301
2020,19.601,25.472
2019,16.95,31.159
2016,15.885,55.576
2018,15.9,63.655
2018,16.39,37.563
2020,13.487,69.176
2020,17.9,44.023
2017,15.995,40.202
2020,18.6,62.539
2019,13.495,61.552
2018,15.5,114.105
2019,12.995,75.9
2015,12.999,55.21
2020,21.3,60.174
2017,16,75
2020,19.5,21.916
2020,17.977,46.838
2018,13.491,106.549
2011,6.595,106.938
2020,15.993,66.253
2019,13.692,59.119
2014,9.5,123.475
2020,19.897,28.074
2019,19.99,30.84
2014,9,124.489
2020,20.777,21.169
2015,10.999,115.319
2009,6,100.9
2020,18.998,24.933
2016,4.988,174.491
2011,6.9,85
2020,22.65,11.077
2018,16.034,56.791
2006,4,209.51
2012,10.9,88.403
2017,15.937,36.9
2012,7.99,118.237
2015,5.999,110.596
2013,10.495,69.34
2016,9.447,120.672
