year,price,mileage
2017,13.995,149.732
2008,7.995,42.75
2017,13.995,129.682
1995,4.5,115
2019,25.999,67.789
2014,8.85,109.841
2019,18.178,73.512
2018,25.995,75.404
2017,12.8,63.394
2013,11.111,104.067
2019,9.888,137.09
2017,17.995,97.553
2013,13.595,92.042
2017,16.888,74.185
2016,15.895,112.125
2018,11.495,88.8
2003,1,215
2014,6.983,131.342
2019,15.497,66.679
2017,18.197,107.672
2015,11.999,92
2015,11.995,91.434
2013,11.995,102.228
2017,25.295,54.373
2018,16.909,78.26
2018,9.995,82.342
2017,21.995,98.033
2018,12.995,65.318
2009,2.995,211.323
2017,14.878,97.608
2004,2.995,103.097
2018,13.995,92.305
2015,13.564,70.538
2017,19.95,94.759
2018,13.3,99.21
2018,13.499,80.231
2018,12.995,67.018
2016,10.999,75.99
2011,10,56.371
2016,11.99,67.746
2013,7.799,91.81
2015,13.975,59.479
2011,16.4,101.993
2018,11.999,111.937
2013,8.799,84.977
2003,2.999,115.638
2017,19.5,122
2001,2.495,130.309
2016,10.499,112.705
2016,9.995,96.701
2016,13.5,101
2017,8.995,191.239
2008,5.699,104.73
2008,2.995,162.374
2017,18.999,49.722
1996,5.995,29.858
2013,7.899,97.039
2012,9.995,107.161
