year,price,mileage
2020,24.697,5.316
2020,19.616,19.817
2020,20.995,29.532
2022,26.795,2.002
2020,18.995,23.404
2022,26.491,20.583
2022,24.488,3.32
2020,21.491,34.251
2018,16.99,55.064
2018,14.495,75.178
2020,19.845,42.67
2018,13.3,52.304
2021,23.477,12.168
2022,26.76,19.303
2020,19.495,27.839
2021,23.9,18.434
2019,17.507,53.533
2021,21.495,21
2022,20.494,20.61
2021,21.585,42.007
2020,19.75,20.064
2017,12.461,85.354
2018,18.147,46.36
2021,22.26,24.088
2019,21.788,26.704
2019,19.989,37.328
2022,26.995,5.269
2022,23.866,11.445
2020,20.773,10.155
2020,21.991,14.86
2016,12.395,92.295
2014,7.999,115.765
2017,13.997,95.598
2020,17.999,39.415
2019,18.195,41.783
2020,20.675,20.446
2017,17.095,85.91
2019,12.882,68.276
2022,26.761,16.339
2017,11.999,111.822
2020,18.161,45.47
2022,26.9,15.093
2020,23.741,34.579
2022,24.997,14.564
2020,19.992,15.716
2022,20.449,15.758
2020,18.995,22.666
2022,28.771,12.044
2022,25.499,2.878
2022,24.613,9.351
2019,15.299,40.148
2021,22.995,14.458
2016,14.424,54.889
2022,17.769,45.576
2021,26.59,28.428
2023,30.6,1.474
2020,19.995,32.795
2020,19.695,29.1
2020,19.998,35.101
2022,22.995,11.1
2020,26.495,26.397
2020,19.09,32.581
2023,26.69,20.053
2021,19.999,31.84
2019,18.987,46.278
2019,17.495,35.317
2020,18.75,50.165
2022,20.695,34.703
2023,28.375,15.801
2022,23.339,15.235
2020,19.888,37.336
2022,21.939,21.226
2020,24.997,28.562
2021,22.939,34.382
2021,19.699,43.029
2021,22.8,36.532
2022,20.849,21.994
2020,20.63,26.114
2020,20.995,20.227
2023,29.395,4.366
2013,9.489,111.225
2019,15.766,79.077
2020,20.895,44.311
2023,35.481,5.548
2022,28.111,8.668
2017,17.061,39.321
2019,16.5,56.212
2020,21.288,27.586
2020,21.16,21.6
2021,21.991,22.453
2022,21.488,22.551
2021,19.295,20.856
2022,24.251,17.126
2021,19.9,51.88
2018,20.995,44.398
2020,20.428,38.51
2022,25.999,12.453
2022,29.2,5.215
2023,29.995,7.428
2020,21.715,16.749
2022,23.997,6.855
2021,20.939,23.182
2021,21.997,24.31
2017,19.495,28.631
2020,25.288,35.053
2020,21.488,48.979
2020,17.939,36.105
2021,21.419,19.619
2019,19.75,21.72
2020,17.99,38.183
2022,24.95,12.206
2020,24.799,30.331
2021,21.949,46.931
2020,22.488,27.115
2020,20.895,27.08
2022,21.4,31.901
2021,25.4,28.139
2020,19.495,28.706
2008,4.499,106.7
2020,19.995,38.352
2021,18.995,26.874
2022,21.895,23.538
2019,15.499,60.529
2022,19.373,47.34
2019,17.411,43.579
2020,19.795,26.185
2020,19.888,49.396
2017,13.999,68.364
2022,28.6,8.962
2014,10.6,120.451
2020,16.297,74.426
2018,11.9,64.318
2020,23.399,16.915
2022,25.547,17.005
2020,21.864,37.371
2017,16,41.612
2020,19.955,23.49
2016,14.88,68.51
2019,14.495,40.918
2012,6.313,131.966
2018,16.995,23.666
2023,26.99,16.541
2022,24.75,17.436
2020,28.985,26.217
2017,17.999,46.7
2020,22.488,25.683
2022,20.988,22.185
2023,24.785,14.702
2022,28.5,7.435
2022,21.962,43.181
2022,24.348,11.76
2020,21.99,4.275
2022,26.897,11.395
2022,24.554,18.266
2022,21.8,19.828
2021,21.49,24.443
2020,20.995,29.521
2020,23.488,21.492
2020,14.129,86.112
2020,27.355,10.302
2022,26.999,6.231
2020,22.985,22.526
2021,21.889,15.082
2020,21.562,46.331
2022,23.029,15.127
2020,21.997,29.137
2023,29.7,1.482
2020,26.788,21.798
2022,21.397,50.884
2022,26.997,6.158
2020,20.9,21.501
2019,18.995,27.704
2021,19.697,31.169
2021,21.9,20.757
2022,25.8,24.566
2021,20.999,14.922
2020,19.5,25.006
2018,18.464,55.858
2020,22.395,44.096
2022,25.497,15.08
2020,19.67,23.719
2021,23.9,40.89
2023,26.98,15.462
2020,21.973,19.866
2008,5.95,145
2020,24.197,30.921
2016,13,60
2021,22.289,9.715
2019,19.295,24.932
2022,21.877,15.665
2022,23.995,11.1
2020,21.491,8.438
2019,16.885,47.705
2020,20,36.413
2013,11.495,93.849
2021,26.436,11.59
2020,21.495,26.694
2023,28.5,0.726
2020,20.212,35.698
2014,14.395,80.727
2023,26.477,8.471
2023,29.5,2.797
2022,21.599,19.587
2020,18.449,48.966
2023,28.3,2.241
2023,26.49,14.49
2014,7.495,136.323
2020,21.8,30.256
2018,16.157,86.73
2015,10.7,113.706
2020,19.995,17.69
2021,20.845,19.357
2022,26.495,13.117
2021,24,1.944
2021,21.66,16.322
2020,20.995,34.244
2021,24.985,10.676
2013,8.5,104.7
2021,20.245,37.982
2022,21.449,19.897
2020,22.497,14.579
2013,10.5,97.6
2020,24.897,11.625
2019,20.946,27.746
2017,15.416,46.209
2021,26.194,16.406
2022,22.874,13.485
2020,23.295,15.5
2022,26.919,8.164
2020,20.75,28.719
2022,22.895,7.755
2020,23.295,16.229
2021,19.697,30.669
2020,22.999,18.591
2022,26.56,8.38
2020,23.291,23.62
2020,22.35,16.995
2022,26.9,27.422
2006,2.5,193.358
2020,18.813,36.633
2020,20.9,35.009
2022,25.3,13.099
2022,21.695,17.18
2014,12.5,76.256
2023,32.913,6.163
2021,21.498,20.403
2020,18.99,24.636
2020,18.999,20.143
2020,20.995,19.551
2020,21.897,28.882
2021,24.365,10.062
2022,25.221,15.749
2023,26.99,12.992
2022,23.895,16.516
2019,15.499,60.126
2021,25.288,22.35
2020,22.694,18.575
2022,20.999,31.048
2020,19.689,42.027
2020,15.695,55.069
2015,11.999,75.272
2022,21.495,28.606
2020,19.999,15.465
2023,28.695,15.452
2022,29.4,18.433
2017,14.997,68.49
2020,22.867,21.731
2019,22.221,13.715
2018,11.993,102.339
2013,8.99,107.409
2020,21.845,19.638
2022,20.639,30.962
2008,5.85,111.117
2021,23.9,28.015
2020,22.9,39.542
2022,27.543,6.641
2020,24.985,23.583
2022,27.39,8.565
2014,9.769,108.901
2020,23.853,16.611
2020,22.823,13.134
2020,21.987,28.939
2022,26.584,6.034
2019,18.995,46.246
2022,23.4,20.882
2019,19.995,24.236
2017,13.499,51.614
2016,13.54,91.377
2022,27.9,11.297
2021,26.966,14.842
2021,19.229,21.572
2012,6.999,150.649
2021,20.495,35.475
2020,19.495,28.989
2020,19.489,51.28
2022,20.496,23.622
2022,21.495,22.041
2023,30.631,4.938
