year,price,mileage
2021,42.069,28.686
2021,33.96,38.582
2023,35.99,15.696
2020,30.985,38.631
2021,31.995,25.333
2021,32.997,28.688
2020,26.991,41.982
2021,30.088,34.23
2023,47.995,7.7
2021,33.588,20.95
2021,30.291,40.781
2020,25.999,62.476
2023,38.42,12.437
2020,27.495,37.715
2021,29.995,38.54
2021,31.491,20.723
2022,34.9,12.478
2021,31.549,58.009
2020,23.995,57.642
2017,18.779,89.454
2015,13.995,98.693
2020,29.195,19.297
2021,29.695,34.66
2021,30.495,31.426
2022,34.99,6.159
2021,30.412,32.429
2022,32.999,27.395
2020,36.128,26.963
2020,28.197,36.868
2021,31.204,23.93
2020,29.995,30.292
2021,29,29.176
2021,27.998,39.585
2021,26.999,32.942
2021,29.895,37.625
2020,29.59,55.486
2021,30.971,41.548
2015,11.547,137.441
2022,32.491,14.344
2021,29.997,18.156
2021,29.988,33.352
2017,20.459,86.507
2021,32.997,25.04
2021,31.98,25.792
2021,29.665,40.523
2021,31.995,22.805
2020,25.95,37.714
2020,27.495,33.51
2022,31.944,9.613
2021,29.999,23.198
2020,23.995,32.792
2020,26.499,40.158
2022,35.996,48.158
2014,13.995,82.28
2021,27.925,42.493
2021,29.149,33.536
2019,29.799,23.722
2021,36.491,19.702
2021,33.548,16.425
2021,27.995,43.721
2021,31.4,40.081
2021,34.914,63.246
2021,28.795,42.035
2021,30.333,34.891
2021,37.495,40.5
2018,24.495,35.166
2021,27.995,65.181
2017,20.995,20.81
2021,29.995,30.143
2021,30.99,21.498
2023,40.998,0.003
2020,30.982,37.814
2020,31.999,33.248
2021,29.99,21.152
2023,33.999,17.859
2019,25.895,42.997
2020,38.81,24.931
2022,31.145,21.103
2021,30.412,25.709
2021,29.8,39.37
2021,29.543,30.692
2022,45.942,19.693
2021,29.02,36.197
2021,28.405,40.461
2020,32.702,71.557
2020,28.395,31.288
2020,26.795,34.233
2020,25.49,26.642
2022,33.891,10.458
2022,34.915,17.178
2021,41.8,34.312
2020,27.49,26.251
2020,29.985,36.396
2021,24.913,38.963
2021,26.796,41.03
2021,30.54,41.195
2021,28.311,61.597
2017,18.995,59.198
2020,27.795,51.435
2023,38.88,3.143
2022,34.642,22.95
2021,37.98,26.998
2021,30.723,27.617
2021,30.395,17.668
2020,25.585,45.842
2021,29.012,35.868
2020,29.063,27.963
2021,31.288,16.393
2021,28.874,28.123
2019,27.959,60.931
2021,28.99,41.281
2006,2,185.327
2021,38.99,19.5
2021,28.95,36.948
2023,36.58,9.243
2019,26.995,22.102
2020,26.295,47.146
2021,30.345,40.391
2021,28.695,46.62
2021,28.99,26.428
2020,31.395,30.227
2022,27.973,14.002
2021,31.899,28.252
2020,26.672,52.969
2018,18.688,72.117
2021,29.998,39.246
2021,30.299,15.446
2019,24.99,37.217
2018,27.981,50.842
2018,20.795,67.955
2021,32.997,15.694
2022,31.495,25.962
2020,29.985,26.597
2022,46.999,8.024
2021,32.436,33.345
2021,30.488,32.794
2014,13.795,90.485
2021,28.295,33.607
2021,28.797,26.843
2015,16.9,47.134
2022,45.993,9.695
2020,24.999,49.197
2021,29.109,36.815
2020,27.988,31.678
2021,30.797,38.942
2021,33.491,30.922
2020,27.493,31.482
2016,22.295,105.136
2021,38.367,32.392
2021,30.398,26.532
2021,31.83,28.909
2021,28.895,39.312
2016,17.609,95.68
2021,30.895,21.263
2021,33.499,31.741
2021,36.26,33.248
2017,18.549,95.01
2020,20.22,98.678
2015,16.959,62.866
2020,30.277,23.636
2020,28.31,37.275
2021,35,22.431
2021,29.792,22.187
2013,8.8,150.642
2020,31.674,34.676
2017,19.819,50.223
2023,38.49,9.367
2020,28.498,29.644
2020,30.985,32.612
2022,38.995,22.063
2021,25.559,73.932
2021,38.912,19.785
2015,12.5,115.332
2023,36.84,18.007
2021,28.999,44.968
2022,31.973,12.231
2020,30.351,24.759
2021,32.165,14.951
2020,26.95,52.718
2021,29.4,42.219
2017,14.5,105.23
2020,22.995,38.722
2020,31.985,33.315
2021,33.795,15.606
2023,38.799,13.382
2020,28.295,30.636
2023,36.5,9.21
2022,30.885,35.982
2021,31.995,19.279
2021,34.494,31.495
2022,36.9,23.951
2020,30.295,29.918
2020,29.903,18.745
2021,29.984,20.667
2021,30.33,23.789
2014,17.99,49.489
2021,28.232,34.559
2021,31.031,43.152
2021,29.491,23.665
2020,29.995,30.072
2021,30.953,22.538
2021,33.395,12.503
2022,27.499,7.954
2020,26.5,87.653
2018,21.595,59.424
2020,29.812,31.272
2021,28.995,27.052
2021,29.495,41.372
2018,22.139,61.334
2021,28.898,36.051
2021,30.568,34.005
2020,27.442,40.541
2017,17.497,89.399
2021,28.988,31.6
2022,40.924,15.75
2018,23.999,36.454
2021,28.99,29.244
2021,30.2,39.234
2021,31.476,22.589
2020,30.792,32.114
2020,24.99,52.362
2020,25.699,57.717
2021,29.998,43.05
2020,26.9,58.324
2020,30.945,27.547
2018,22.995,58.14
2016,15.443,100.871
2016,14.299,104.992
2018,24.295,50.665
2019,23.695,54
2021,28,47.358
2022,36.959,11.237
2021,33.699,30.415
2018,19.995,76.592
2022,34.998,7.715
2020,36.147,39.959
2016,12.995,127.749
2021,33.388,28.916
2017,25.444,39.436
2022,35.994,13.623
2021,27.995,23.795
2021,25.998,44.011
2021,27.936,29.675
2021,28.995,54.761
2021,27.977,64.43
2022,33.39,18.842
2022,33.722,7.441
2022,34.665,17.736
2022,36.995,21.264
2021,29.95,32.005
2021,28.276,53.33
2021,28.25,37.54
2020,27.495,41.894
2021,32.539,24.861
2021,32.288,19.605
2021,39.488,30.979
2021,33.595,33.702
2020,27.585,40.593
2018,17.8,87.74
2021,28,45.125
2020,33.461,53.09
2021,31.524,27.435
2021,28.495,31.416
2020,37.312,34.255
2020,36.995,38.38
2019,27.45,58.942
2015,15.917,68.738
2020,27.347,41.538
2021,31.4,38.526
2021,31.976,21.775
2013,15.99,65.923
2013,8.555,141.545
2020,33.898,40.365
2021,27.834,45.201
2021,29.654,28.713
2021,27.995,38.953
2021,31.694,24.039
2021,28.495,51.654
2021,27.493,29.667
2023,37.31,13.158
2022,32.99,13.968
2021,29.595,30.963
2021,27.995,44.085
2021,38.9,39.464
2020,29.946,29.279
2023,35.746,11.563
2023,52.991,1.465
2020,26.955,48.832
2014,10.981,74.505
2019,30.973,34.996
2010,7,166
2022,34.399,23.739
2021,29.9,35.707
2022,33.495,23.43
2021,31.295,17.482
2021,40.998,15.486
2022,35.85,24.583
2022,42.999,28.032
2014,12.995,101.828
2021,31.199,14.356
