year,price,mileage
2018,29.049,68.65
2022,48.997,10.128
2018,25.995,119.891
2022,78.9,0.085
2018,30.5,79.831
2019,32.49,60.42
2020,37.5,21
2019,47.995,30.465
2022,41.995,9.204
2019,24.995,28.619
2004,2.5,132.535
2017,28.997,69.885
2020,32.995,42.745
2021,37.939,28.469
2021,41.23,31.504
2021,38.251,26.26
2021,37.9,37.484
2020,34.35,53.144
2020,36.495,31.855
2020,35.299,39.471
2020,28.5,74
2021,33.15,62.63
2019,35.59,44.144
2021,29.994,56.032
2013,18.495,64.618
2021,40.998,34.738
2021,37.5,25.924
2023,62.998,3.548
2013,11.6,170.499
2013,10.995,173.491
2021,36.485,64.939
2011,13.5,183.825
2022,46.288,12.459
2023,46.961,5.282
2021,38.85,25.595
2022,42.499,24.073
2023,49.329,4.179
2021,39.429,35.433
2020,31.791,41.966
2019,29.499,53.289
2022,37.99,14.763
2011,14.95,117.284
2021,66.5,21.758
2022,39.997,17.218
2018,27.495,61.835
2022,43.95,29.355
2018,31.75,74.791
2010,16,81.9
2021,43.997,19.663
2021,41.449,26.688
2021,54.995,23.502
2019,29.295,58.891
2022,44.995,22.607
2013,14.995,115.389
2022,39.993,38.787
2018,48.99,38.829
2013,19.347,93.908
2021,38.994,39.872
2021,51.486,35.704
2021,54.397,15.078
2021,42.999,26.587
2021,38.997,21.393
2008,11.399,141.018
2021,41.939,23.096
2021,42.995,44.738
2010,11.922,127.109
2022,48.995,32.11
2022,44.956,9.525
2023,46.995,5.075
2016,32.995,65.071
2021,41.449,44.286
2021,43.559,26.456
2021,43.229,13.173
2021,49.939,24.974
2016,20.99,108.959
2021,40.99,11.183
2021,42.539,26.826
2023,65.881,6.516
2023,51.999,0.071
2021,40.745,35.232
2020,37.865,38.062
2022,38.781,19.018
2021,49.95,27.148
2021,73.45,15.854
2018,42.991,60.808
2021,39.995,20.569
2014,36.988,69.655
2017,25.991,81.776
2021,36.608,41.573
2015,22.885,134.273
2023,39.471,7.374
2021,35.9,39.695
2022,40.9,12.39
2019,31.994,55.616
2016,24.672,106.836
2013,13.995,114.423
2020,33.402,51.87
2022,51.988,19.496
2018,29.588,86.076
2012,17.985,116.212
2013,24,62
2018,42.92,50.659
2020,36.995,39.589
2021,41.698,33.216
2022,48.7,5.83
2017,44.765,58.893
2021,39.689,20.537
2018,19.799,65.473
2022,42.992,12.599
2021,40.745,34.418
2022,46.9,14.425
2021,40.939,30.116
2018,27.627,67.854
2007,6,204
2015,24.195,65.249
2021,43.805,30.552
2013,14.699,71.99
2017,30.684,30.595
2021,56.5,25.136
2023,77.842,5.141
2023,40.988,8.777
2021,39.95,23.094
2022,45.444,15.083
2023,45.429,2.091
2018,32.439,61.052
2021,42.995,23.388
2021,38.952,48.456
2021,36.211,22.902
2023,42.855,13.149
2014,23.5,81.739
2011,14.995,149.762
2021,31.995,75.863
2013,23.9,74.97
2022,37.99,22.624
2021,40.297,35.363
2021,41.805,36.396
2019,28.09,89.519
2015,22.49,109.67
2018,24.998,102.454
2019,28.332,70.695
2021,56.95,20.204
2022,41.244,25.578
2017,30.796,45.175
2017,24.619,89.602
2021,43.488,24.313
2021,41.488,39.892
2019,47.999,72.55
2021,35.559,59.751
2018,45.994,73.465
2021,39.799,45.777
2014,11.995,115.185
2023,50.5,5.113
2021,49.995,38
2021,72.885,16.597
2023,45.988,2.234
2019,29.995,47.044
2022,52.552,20.029
2015,26.495,83.892
2013,14.495,89.826
2021,43.991,28.118
2021,37.089,32.019
2018,27.816,35.261
2020,36.555,29.235
2011,12.922,115.848
2021,43.488,25.428
2023,52.095,5.162
2022,52.995,28.451
2019,30.5,69.274
2021,41.586,35.355
2023,41.988,3.366
2016,24.245,73.841
2020,32.999,37.731
2022,78.988,17.854
2023,46.9,2.391
2021,41.588,27.5
2018,24.449,88.82
2021,37.55,30.592
