year,price,mileage
2020,21.995,30.721
2014,10.5,96.86
2020,21.9,19.394
2017,13.9,67.788
2020,15.9,73.26
2015,8.741,127.823
2012,6.89,108.411
2016,11.9,112.383
2020,21.75,14.142
2017,13.33,75.988
2015,9.998,98.53
2011,6.988,104.875
2020,22.45,18.5
2019,16.95,31.159
2013,11.9,70.383
2020,17.895,56.653
2015,8.8,159.492
2010,10.999,71.448
2019,22.185,5.857
2008,8.981,115.759
2017,15.5,55.633
2020,22.995,9.487
2018,11.498,103.038
2020,21.995,37.283
2014,11.49,25.369
2014,11.995,74.269
2015,11.995,38.129
2008,6.99,93.612
2020,19.897,28.074
2017,13.55,95.014
2015,5.999,110.596
2014,10.499,84.241
2017,5.8,160.171
2018,15.5,114.105
2019,14.947,100.766
2020,23.5,23.604
2014,8.999,189.903
2018,10.544,80.645
2020,19.5,21.916
2017,15.995,40.202
2014,8.495,121.793
2013,8.495,120.698
2016,13.2,65.078
2019,15.699,37.455
2020,20.988,6.729
2013,8.995,113.974
2019,17.894,51.581
2014,10.49,68.257
2020,18.9,78.705
2019,14.299,107.008
2020,19.988,73.814
2016,9.995,114.949
2012,7.995,92.998
2020,18.888,6.129
2020,18.6,62.539
2020,14.995,93.781
2016,13.7,78.847
2020,15.998,57.284
2016,11.199,72.348
2019,15.977,57.78
2019,18.129,1.541
2010,7.499,108.794
2016,9.447,120.672
2020,21.999,18.033
2020,19.295,44.883
2016,16.495,31.502
2020,19.899,30.253
2020,22.65,11.077
2010,6.9,128.698
2011,6.5,92.253
2013,7.99,71.922
2013,9.707,104.309
2020,24.985,26.64
2017,15.895,78.709
2017,15.937,36.9
2015,11.998,111.555
2020,16.396,59.378
2019,16.222,60.704
2016,9.495,116.809
2008,6.495,149.432
2018,17.465,54.325
2020,19.999,17.632
2020,23.25,23.85
2015,10.995,88.835
2016,13.295,75.456
2019,15.192,70.548
2020,18,98.033
2020,20,7.278
2020,21.863,6.531
2019,18.895,46.101
2010,4.7,100.668
2020,14.995,61.351
2019,13.636,96.559
2017,12.495,94.945
2020,15.995,59.327
2019,14.995,90.995
2020,16.995,52.081
2019,15.265,61.003
2020,17.995,36.37
2020,19.995,25.227
2020,16.417,57.235
2019,19.495,50.99
2014,9.5,123.475
2007,5.999,153.77
2020,16.733,64.658
2019,14.999,51.935
2020,18.488,47.068
2018,19.985,36.477
2018,18.727,32.022
2020,13.487,69.176
2019,20.477,51.587
2017,15.979,33.961
2018,16.39,37.563
2016,14.995,53.46
2015,15.995,38.256
2013,9.9,108.478
2019,15.9,83.831
2020,18.695,98.787
2016,7.495,133.999
2020,17.495,101.636
2019,13.692,59.119
2015,12.999,55.21
2015,16.495,25.385
2015,10.998,102.739
2006,7.5,65.168
2018,18.737,29.261
2020,13.8,102.828
2019,23.745,9.021
2014,10.8,97.643
2020,15.993,66.253
2016,11.295,77.182
2020,20.985,25.161
2017,6.995,189.652
2012,9.815,102.839
2018,15.888,48.163
2017,13.489,78.933
2017,16.695,43.191
2017,7.999,123.41
2006,4,209.51
2018,15.311,72.586
2014,7.99,131.88
2011,10.995,66.355
2018,12.995,124.911
2017,13.89,61.37
2017,12.856,91.864
2018,9.995,101.091
2020,18.736,44.353
2020,16.964,59.589
2011,8.995,80.7
2020,20.495,29.629
2015,12.518,66.164
2011,3,101.316
2015,14.8,94.553
2017,16.6,35.787
2016,10.5,110.45
2014,11.784,92.008
2020,17.998,32.419
2015,8.995,122.378
2018,15.9,65.63
2008,4.5,133.105
2011,7.995,82.695
2013,14.991,57.842
2013,11.494,58.781
2009,7.995,114.38
2018,13.797,57.456
2016,12.99,89.619
2020,21.9,71.067
2020,22.991,13.683
2019,11.9,34.194
2017,15.999,90.993
2019,19.995,53.159
2016,15.885,55.576
2019,16.994,61.596
2007,4.999,141.516
2016,13.999,75.975
2020,14.65,72.774
2020,17.9,44.023
2013,10.977,45.489
2009,6,100.9
2020,16.49,75.939
2014,10.999,97.97
2020,21.676,61.487
2020,18.998,24.933
2017,12.995,116.118
2010,5.999,161.557
2020,19.995,33.286
2014,10.265,73.562
2017,13.316,83.072
2020,19.995,40.433
2020,13.999,37.575
2019,19.344,44.034
2014,11.499,102.415
2011,6.595,106.938
2019,23.485,8.354
2017,9.975,117.485
2018,12.995,73.852
2013,6.9,88.843
2014,10.995,99.648
2015,9.95,121.181
2019,19.99,48.437
2009,6.995,65.609
2014,6.995,96.298
2012,10.995,59.898
2020,16.295,60.133
2011,4.9,144.25
2009,7.995,92.289
2017,11.857,75.53
2019,14.995,97.533
2020,23.549,14.572
2016,17.995,32.522
2012,10.9,88.403
2015,9.995,100.011
2019,15,118.72
2020,20.495,22.937
2019,20.988,20.643
2017,13.49,92.556
2020,19.601,25.472
2017,15.65,100.213
2020,20.991,55.954
2020,21.068,35.214
2020,16.449,61.629
2019,15.888,29.71
2020,20.693,8.259
2014,14.5,52.914
2014,7.95,133.264
2011,7.99,102.591
2020,18.09,76.923
2018,18.747,24.421
2010,9.895,51.131
2020,15.495,67.219
2020,19.9,20.475
2019,17.895,25.792
2017,13.995,82.303
2014,13.895,37.722
2012,12,96.618
2020,17.995,26.383
2012,7.999,114.043
2020,22.249,34.736
2016,9.995,61.325
2020,18.989,32.705
2011,6.799,156.748
2016,15.95,65.872
2020,20.488,23.451
2019,12.999,102.226
2020,13.99,76.238
2013,10.495,69.34
2017,13.995,63.042
2014,11.213,118.747
2020,20.777,21.169
2019,14.499,45.031
2013,10.447,104.359
2018,14.988,77.244
2020,16.479,70.639
2018,11.194,62.04
2016,9.799,133.815
2020,17.747,17.102
2020,17.808,63.132
2018,8.942,137.525
2014,12.999,81.259
2020,18.995,61.754
2018,16.034,56.791
2016,10.588,92.275
2020,17.977,46.838
2015,8.495,114.452
2017,16.86,56.674
2011,6.995,119.397
2012,7.99,118.237
2018,11.99,149.523
2018,14.987,88.128
2013,8.799,151.742
2020,19.999,16.802
2018,14.495,82.907
2020,15.765,47.044
2012,9.5,94.602
2020,9.999,110.664
2010,9.137,94.58
2010,6.899,119.695
2012,9.255,59.508
2016,4.988,174.491
2016,11.995,85.46
2014,8.999,108.013
2014,12.495,89.654
2014,10.995,95.451
2019,13.488,64.307
2020,20.899,37.849
2012,5.99,112.014
2018,14.96,49.524
2020,13.999,96.216
2014,10.795,70.097
2020,17.75,54.823
2020,20.859,15.03
2017,13.995,92.756
2017,14.989,100.925
2020,13.888,24.849
2020,19.695,65.522
2012,7.9,90.129
2009,5.796,122.713
2013,7.995,93.298
2020,23.65,15.111
2015,10.5,110.701
